image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta,qw,qx,qy,qz
n02690373_10001,Images/aeroplane_imagenet/n02690373_10001.JPEG,aeroplane,3,81,448,219,54.1297192386192,-5.279325148613769,-3.5696445014556226,0.45301821033355955,-0.055147625887274204,-0.006761243037669815,0.8897682428912385
n02690373_10032,Images/aeroplane_imagenet/n02690373_10032.JPEG,aeroplane,15,84,485,235,69.22262902560847,-18.55792108992298,3.923432574825669,0.5647881178769221,-0.11343841641799361,0.11933735128631047,0.8086437436681183
n02690373_10061,Images/aeroplane_imagenet/n02690373_10061.JPEG,aeroplane,39,103,479,229,201.087697377092,14.296559027044385,4.1204689042758105,0.9756618718603087,0.012312542421384454,-0.12878472684696013,-0.17705029575833583
n02690373_101,Images/aeroplane_imagenet/n02690373_101.JPEG,aeroplane,26,8,443,317,86.2731155787974,-44.99999996185272,3.712884717113734,0.6404079288827852,-0.2586436189386519,0.2833587258142709,0.665348777342599
n02690373_102,Images/aeroplane_imagenet/n02690373_102.JPEG,aeroplane,11,36,495,280,214.82165428215856,-10.850147795771916,3.2813263441852167,0.948710334315961,0.055474881494472085,0.08164671197047696,-0.30034156140914275
n02690373_10203,Images/aeroplane_imagenet/n02690373_10203.JPEG,aeroplane,14,155,185,220,247.5000001711583,0.9360314121850704,-2.9488300031099186,0.831049826878355,-0.025930037176139634,0.007505189571257096,-0.5555425191171236
n02690373_10203,Images/aeroplane_imagenet/n02690373_10203.JPEG,aeroplane,244,131,495,219,140.80969279327945,-1.8902095007029167,-0.3836478885498148,0.9419338607871532,-0.008685371091578256,0.014416435950738282,0.33537640436692545
n02690373_10203,Images/aeroplane_imagenet/n02690373_10203.JPEG,aeroplane,312,96,422,146,46.697470209694686,-2.919446093848741,3.480896501898592,0.3967255252878482,-0.011344056472206147,0.03796711825637266,0.9170816037295388
n02690373_1021,Images/aeroplane_imagenet/n02690373_1021.JPEG,aeroplane,5,4,351,417,345.6589983526644,8.579902477724414,-0.1678611957355576,0.12436384603941869,-0.07440105800884421,-0.007887849538440963,-0.989411895115026
n02690373_10210,Images/aeroplane_imagenet/n02690373_10210.JPEG,aeroplane,8,86,484,228,84.97737944839898,-0.8884766227085158,1.0709638803050527,0.6754482884050165,0.000595223399788793,0.0121282016819166,0.7373073728939654
n02690373_10308,Images/aeroplane_imagenet/n02690373_10308.JPEG,aeroplane,95,98,430,203,70.96760725580292,2.1148081973786748,-1.373263148368465,0.5805123503803922,0.008070723405177869,-0.020467771445720824,0.8139541417129074
n02690373_10374,Images/aeroplane_imagenet/n02690373_10374.JPEG,aeroplane,7,14,488,322,307.50000000791454,-11.534680181982866,-166.61543909316987,0.14079397768022794,-0.42654854301142103,0.8914323822509365,-0.059847340611204725
n02690373_1038,Images/aeroplane_imagenet/n02690373_1038.JPEG,aeroplane,122,129,484,255,9.85354661810864,-15.036201347883653,1.5243107722603262,0.08687063321853841,-0.12921188560063493,0.024374476607678008,0.9875037552302474
n02690373_10395,Images/aeroplane_imagenet/n02690373_10395.JPEG,aeroplane,6,78,496,224,15.493358630643726,-13.63614600608812,-0.8830411086545381,0.13292980883313235,-0.11866159814204463,0.008420242226305668,0.983960461894081
n02690373_10397,Images/aeroplane_imagenet/n02690373_10397.JPEG,aeroplane,3,28,486,318,325.1696131329821,6.312167417666154,-3.451379190455297,0.29712235002906173,-0.06150803985013752,0.012219907965239776,-0.9527779090618772
n02690373_1074,Images/aeroplane_imagenet/n02690373_1074.JPEG,aeroplane,12,61,489,223,219.60326062015727,6.853875413853452,4.4152395762647245,0.9392716733049686,0.015943342895575516,-0.06922559883924503,-0.3357414928327241
