image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000033,Images/aeroplane_pascal/2008_000033.jpg,aeroplane,104,61,476,257,72.49999985390725,-38.11983344583065,-8.663952905955943
2008_000037,Images/aeroplane_pascal/2008_000037.jpg,aeroplane,47,157,450,282,229.04851432633484,3.0764821656802264,5.686900410853238
2008_000151,Images/aeroplane_pascal/2008_000151.jpg,aeroplane,244,225,275,261,122.50000017377097,58.09937181974392,-26.89261147792427
2008_000197,Images/aeroplane_pascal/2008_000197.jpg,aeroplane,95,134,230,203,117.49999983533212,40.75205549232479,3.2938877063225136
2008_000291,Images/aeroplane_pascal/2008_000291.jpg,aeroplane,2,196,217,251,284.27264484551546,3.201626642561362,-0.45963742646776923
2008_000291,Images/aeroplane_pascal/2008_000291.jpg,aeroplane,392,198,439,220,270.9322951444032,3.552645979123882,-0.8575426312672275
2008_000585,Images/aeroplane_pascal/2008_000585.jpg,aeroplane,1,5,499,374,343.7801851556436,4.523528903277942,0.7900179037214689
2008_000716,Images/aeroplane_pascal/2008_000716.jpg,aeroplane,5,82,277,175,287.86853664803374,4.622391853558912,-1.5763936289456557
2008_000716,Images/aeroplane_pascal/2008_000716.jpg,aeroplane,298,116,483,182,80.84920968192523,-6.558816821657352,2.114885394707144
2008_000756,Images/aeroplane_pascal/2008_000756.jpg,aeroplane,368,215,476,253,281.52706669857383,8.914643232485185,-1.4069373351428436
2008_000756,Images/aeroplane_pascal/2008_000756.jpg,aeroplane,1,99,425,265,235.08101799571196,-0.5908498670051857,-0.5486152920569094
2008_000883,Images/aeroplane_pascal/2008_000883.jpg,aeroplane,1,1,499,341,30.0,-10.0,0.0
2008_001054,Images/aeroplane_pascal/2008_001054.jpg,aeroplane,1,55,499,308,306.6370607442044,-10.061048723758642,6.15004772725162
2008_001054,Images/aeroplane_pascal/2008_001054.jpg,aeroplane,424,152,499,186,70.0,0.0,0.0
2008_001448,Images/aeroplane_pascal/2008_001448.jpg,aeroplane,332,126,469,169,179.50715472193536,14.896129822116814,4.388351994134024
2008_001448,Images/aeroplane_pascal/2008_001448.jpg,aeroplane,1,89,298,169,195.03526439987158,14.134160210838767,8.186270105591221
2008_001719,Images/aeroplane_pascal/2008_001719.jpg,aeroplane,49,21,376,220,107.21078491004657,39.46330769434948,16.165407990833348
