image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02690373_10032,Images/aeroplane_imagenet/n02690373_10032.JPEG,aeroplane,15,84,485,235,69.22262902560847,-18.55792108992298,3.9234325748256693
n02690373_10061,Images/aeroplane_imagenet/n02690373_10061.JPEG,aeroplane,39,103,479,229,201.08769737709196,14.296559027044385,4.1204689042758105
n02690373_101,Images/aeroplane_imagenet/n02690373_101.JPEG,aeroplane,26,8,443,317,86.2731155787974,-44.99999996185272,3.712884717113734
n02690373_102,Images/aeroplane_imagenet/n02690373_102.JPEG,aeroplane,11,36,495,280,214.82165428215856,-10.850147795771916,3.2813263441852167
n02690373_10203,Images/aeroplane_imagenet/n02690373_10203.JPEG,aeroplane,14,155,185,220,247.5000001711583,0.9360314121850704,-2.9488300031099186
n02690373_10203,Images/aeroplane_imagenet/n02690373_10203.JPEG,aeroplane,244,131,495,219,140.80969279327945,-1.8902095007029174,-0.3836478885498148
n02690373_10203,Images/aeroplane_imagenet/n02690373_10203.JPEG,aeroplane,312,96,422,146,46.697470209694686,-2.919446093848741,3.4808965018985916
n02690373_10308,Images/aeroplane_imagenet/n02690373_10308.JPEG,aeroplane,95,98,430,203,70.96760725580292,2.1148081973786748,-1.373263148368465
n02690373_1038,Images/aeroplane_imagenet/n02690373_1038.JPEG,aeroplane,122,129,484,255,9.85354661810864,-15.036201347883651,1.5243107722603262
n02690373_10395,Images/aeroplane_imagenet/n02690373_10395.JPEG,aeroplane,6,78,496,224,15.493358630643726,-13.636146006088119,-0.8830411086545381
n02690373_1074,Images/aeroplane_imagenet/n02690373_1074.JPEG,aeroplane,12,61,489,223,219.60326062015727,6.853875413853452,4.4152395762647245
n02690373_1087,Images/aeroplane_imagenet/n02690373_1087.JPEG,aeroplane,143,98,422,203,12.69555828542641,5.224832591296342,-2.9348484922182103
n02690373_10898,Images/aeroplane_imagenet/n02690373_10898.JPEG,aeroplane,4,93,497,232,84.4006043997691,-6.60669715370557,0.0992988406624425
n02690373_1098,Images/aeroplane_imagenet/n02690373_1098.JPEG,aeroplane,54,103,454,282,35.41645299880735,-16.33838248540916,-7.963206928175728
