image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02834778_10025,Images/bicycle_imagenet/n02834778_10025.JPEG,bicycle,13,12,431,293,252.46998419067685,-0.6796064090427153,2.1466826386517086
n02834778_10058,Images/bicycle_imagenet/n02834778_10058.JPEG,bicycle,307,215,366,252,280.2482466276162,-0.542993579645467,2.0080017552791336
n02834778_10129,Images/bicycle_imagenet/n02834778_10129.JPEG,bicycle,764,1028,2288,2026,274.88839390751224,5.423734990543068,5.437126186815482
n02834778_10158,Images/bicycle_imagenet/n02834778_10158.JPEG,bicycle,131,176,414,344,259.3723616772332,4.312421260315162,-3.1041103960988234
n02834778_1020,Images/bicycle_imagenet/n02834778_1020.JPEG,bicycle,7,143,340,486,320.060514151142,13.408318213985735,7.259071930927911
n02834778_10314,Images/bicycle_imagenet/n02834778_10314.JPEG,bicycle,230,164,335,368,21.866643663868803,15.579249440033664,-0.4788645591379373
n02834778_10327,Images/bicycle_imagenet/n02834778_10327.JPEG,bicycle,56,173,277,392,43.62573744315191,6.186476471595618,7.743555516551895
n02834778_10363,Images/bicycle_imagenet/n02834778_10363.JPEG,bicycle,862,614,1186,1299,1.088465459530738e-08,7.624868349352557,5.501752483819892
n02834778_10391,Images/bicycle_imagenet/n02834778_10391.JPEG,bicycle,18,20,458,374,313.1936892147687,15.693277656957383,3.5456723630453757
n02834778_10446,Images/bicycle_imagenet/n02834778_10446.JPEG,bicycle,2,21,395,298,103.04347023437242,13.273623177825389,4.888826056200841
n02834778_10484,Images/bicycle_imagenet/n02834778_10484.JPEG,bicycle,11,1,448,283,271.49771685966556,22.49999992945382,3.1286752410774494
n02834778_10619,Images/bicycle_imagenet/n02834778_10619.JPEG,bicycle,43,26,479,352,247.50000054238853,-19.18317436058277,3.289129497130438
n02834778_10721,Images/bicycle_imagenet/n02834778_10721.JPEG,bicycle,122,168,284,333,41.24820377527734,12.464371408224366,-10.957469185221374
n02834778_10735,Images/bicycle_imagenet/n02834778_10735.JPEG,bicycle,68,2,372,498,349.0004617943419,-12.400240775601082,3.6727089783942666
