image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02834778_10025,Images/bicycle_imagenet/n02834778_10025.JPEG,bicycle,13,12,431,293,252.46998419067685,-0.6796064090427153,2.1466826386517086
n02834778_10314,Images/bicycle_imagenet/n02834778_10314.JPEG,bicycle,230,164,335,368,21.866643663868803,15.579249440033664,-0.4788645591379373
n02834778_10327,Images/bicycle_imagenet/n02834778_10327.JPEG,bicycle,56,173,277,392,43.62573744315191,6.186476471595618,7.743555516551895
n02834778_10363,Images/bicycle_imagenet/n02834778_10363.JPEG,bicycle,862,614,1186,1299,1.088465459530738e-08,7.624868349352557,5.501752483819892
n02834778_10391,Images/bicycle_imagenet/n02834778_10391.JPEG,bicycle,18,20,458,374,313.1936892147687,15.693277656957383,3.5456723630453757
n02834778_10446,Images/bicycle_imagenet/n02834778_10446.JPEG,bicycle,2,21,395,298,103.04347023437242,13.273623177825389,4.888826056200841
n02834778_10619,Images/bicycle_imagenet/n02834778_10619.JPEG,bicycle,43,26,479,352,247.50000054238853,-19.18317436058277,3.289129497130438
n02834778_10735,Images/bicycle_imagenet/n02834778_10735.JPEG,bicycle,68,2,372,498,349.0004617943419,-12.400240775601082,3.6727089783942666
n02834778_10841,Images/bicycle_imagenet/n02834778_10841.JPEG,bicycle,86,102,423,467,327.4718940389141,10.408909359979736,2.8921237178563546
n02834778_10881,Images/bicycle_imagenet/n02834778_10881.JPEG,bicycle,160,278,478,482,86.95522867058065,18.499042440886463,0.12966644580881959
n02834778_10945,Images/bicycle_imagenet/n02834778_10945.JPEG,bicycle,154,232,303,349,26.812959596884944,-3.1773405032982995,40.23147561172504
n02834778_11169,Images/bicycle_imagenet/n02834778_11169.JPEG,bicycle,103,120,365,316,67.50000000232886,22.499999987882486,-9.226997300267918
n02834778_11174,Images/bicycle_imagenet/n02834778_11174.JPEG,bicycle,28,80,357,273,253.3328646585089,-15.093756921666435,4.739966921753313
n02834778_11224,Images/bicycle_imagenet/n02834778_11224.JPEG,bicycle,77,22,2204,1626,87.500000035113,28.994028657117184,-10.447419150859627
n02834778_11229,Images/bicycle_imagenet/n02834778_11229.JPEG,bicycle,7,3,497,372,305.4833811074593,30.871005630934075,1.7523551843897822
n02834778_11290,Images/bicycle_imagenet/n02834778_11290.JPEG,bicycle,12,36,592,443,259.3792311866488,11.81957136561458,-7.942340137714867
n02834778_11345,Images/bicycle_imagenet/n02834778_11345.JPEG,bicycle,152,168,286,307,322.49999996380416,11.881044478719637,-6.694356352167108
n02834778_11400,Images/bicycle_imagenet/n02834778_11400.JPEG,bicycle,41,3,491,337,114.89534793493418,19.004552262786344,3.792991441503511
n02834778_11533,Images/bicycle_imagenet/n02834778_11533.JPEG,bicycle,7,35,636,476,60.585994551530746,16.312468977005352,-2.5619554783609764
n02834778_11536,Images/bicycle_imagenet/n02834778_11536.JPEG,bicycle,24,41,490,351,74.59160898631772,14.599137322280718,-10.55293887999601
n02834778_11561,Images/bicycle_imagenet/n02834778_11561.JPEG,bicycle,239,176,420,291,112.49999759649523,-7.23050125599387,-7.548647997056378
n02834778_11606,Images/bicycle_imagenet/n02834778_11606.JPEG,bicycle,12,72,583,434,262.6384701987075,-2.2818923502322384,-0.6669308124168403
n02834778_11633,Images/bicycle_imagenet/n02834778_11633.JPEG,bicycle,41,23,938,617,83.21729857066497,10.797371846421962,-2.94310197297063
n02834778_11636,Images/bicycle_imagenet/n02834778_11636.JPEG,bicycle,52,11,460,272,69.09062166384145,22.49999988001787,-4.77256107195989
n02834778_11709,Images/bicycle_imagenet/n02834778_11709.JPEG,bicycle,60,265,219,448,135.7935989027491,6.099550386749803,-12.249306803881955
n02834778_11849,Images/bicycle_imagenet/n02834778_11849.JPEG,bicycle,8,35,486,350,252.50000005118395,-7.5879071892696475,1.841061531645177
n02834778_11923,Images/bicycle_imagenet/n02834778_11923.JPEG,bicycle,10,5,445,285,68.99087630038758,-1.7632318918708418,-0.6318343751241431
n02834778_11924,Images/bicycle_imagenet/n02834778_11924.JPEG,bicycle,14,21,483,344,298.80863716508367,9.206069213934557,2.2048818201425573
n02834778_1203,Images/bicycle_imagenet/n02834778_1203.JPEG,bicycle,70,228,160,383,0.15376497544332018,3.8926136052633105,-0.09446197709860982
n02834778_12059,Images/bicycle_imagenet/n02834778_12059.JPEG,bicycle,82,102,415,354,73.77482645377269,22.36739786989254,-1.6085886806586729
n02834778_1213,Images/bicycle_imagenet/n02834778_1213.JPEG,bicycle,18,34,478,354,282.70955097059993,-10.945663822439847,0.05285839558776471
n02834778_12147,Images/bicycle_imagenet/n02834778_12147.JPEG,bicycle,208,135,493,326,257.5000001654254,-4.173307166781406,0.2392571435830698
n02834778_12174,Images/bicycle_imagenet/n02834778_12174.JPEG,bicycle,9,15,482,356,104.28064206254679,1.026077724281837,3.298450004700231
n02834778_12192,Images/bicycle_imagenet/n02834778_12192.JPEG,bicycle,8,172,258,324,84.63724912640285,21.94116112291824,-5.505458738391219
n02834778_12279,Images/bicycle_imagenet/n02834778_12279.JPEG,bicycle,12,13,489,303,100.57685721792068,5.004402623075328,3.1432203215573202
n02834778_12368,Images/bicycle_imagenet/n02834778_12368.JPEG,bicycle,9,19,497,318,263.88885865849613,16.337107387498953,-4.097360239399095
n02834778_12605,Images/bicycle_imagenet/n02834778_12605.JPEG,bicycle,1,4,499,317,263.473812384599,4.507017013629575,-0.0028116966349633053
n02834778_12731,Images/bicycle_imagenet/n02834778_12731.JPEG,bicycle,29,2,520,474,141.31266586030057,8.391117583043284,-0.06340280898648544
n02834778_130,Images/bicycle_imagenet/n02834778_130.JPEG,bicycle,3,10,493,337,80.33806558203095,22.49999966547148,-2.5152420636376664
n02834778_1305,Images/bicycle_imagenet/n02834778_1305.JPEG,bicycle,11,16,466,340,231.19725934447854,-4.457087279327495,-3.07617062928795
n02834778_1565,Images/bicycle_imagenet/n02834778_1565.JPEG,bicycle,80,3,341,179,59.58258296467411,23.714198015511762,-12.051564744144443
n02834778_1604,Images/bicycle_imagenet/n02834778_1604.JPEG,bicycle,74,166,445,437,288.8320412012211,11.394109228254392,1.3571616177524293
n02834778_1607,Images/bicycle_imagenet/n02834778_1607.JPEG,bicycle,22,17,454,327,297.49999980184856,11.008609132163523,0.035369525007023464
n02834778_1635,Images/bicycle_imagenet/n02834778_1635.JPEG,bicycle,128,134,375,305,254.4612775031642,-15.822467824530486,15.101724383523571
n02834778_1659,Images/bicycle_imagenet/n02834778_1659.JPEG,bicycle,14,23,489,304,266.70810130192535,22.95343508109963,-2.6150837653951045
n02834778_1687,Images/bicycle_imagenet/n02834778_1687.JPEG,bicycle,8,5,636,416,256.37890812175675,-22.499999947333162,12.808902024172705
n02834778_17729,Images/bicycle_imagenet/n02834778_17729.JPEG,bicycle,65,11,460,281,80.93441184461058,35.93334192345026,-1.3966230843719412
n02834778_1833,Images/bicycle_imagenet/n02834778_1833.JPEG,bicycle,206,211,398,332,106.49821161003207,-17.20232669262562,-6.572884236876109
n02834778_1936,Images/bicycle_imagenet/n02834778_1936.JPEG,bicycle,6,281,321,491,108.23320016022959,-20.47785150064814,8.784930601302671
n02834778_1999,Images/bicycle_imagenet/n02834778_1999.JPEG,bicycle,28,37,493,323,277.3466291862444,7.631645673970283,2.860012904219279
n02834778_2075,Images/bicycle_imagenet/n02834778_2075.JPEG,bicycle,68,183,420,437,271.7627702523669,0.4649207775929926,1.5347421003626704
n02834778_2144,Images/bicycle_imagenet/n02834778_2144.JPEG,bicycle,8,19,599,433,272.2700610600093,-22.499999985643083,-4.719373967961467
n02834778_2212,Images/bicycle_imagenet/n02834778_2212.JPEG,bicycle,108,276,215,477,177.53132390484504,12.580202986394196,9.152927160099416
n02834778_2215,Images/bicycle_imagenet/n02834778_2215.JPEG,bicycle,48,9,267,234,320.9327131896569,6.920998359337318,3.10658270716278
n02834778_2268,Images/bicycle_imagenet/n02834778_2268.JPEG,bicycle,59,192,347,368,67.52552950907629,0.8116981602838441,0.2013805477020604
n02834778_2356,Images/bicycle_imagenet/n02834778_2356.JPEG,bicycle,22,30,490,329,99.72096904255322,13.833989758765794,4.629807014502244
n02834778_26599,Images/bicycle_imagenet/n02834778_26599.JPEG,bicycle,9,31,341,307,308.9767538458128,-0.39296170877340886,-0.8302436544485802
n02834778_2708,Images/bicycle_imagenet/n02834778_2708.JPEG,bicycle,16,303,236,422,272.50000011990846,3.723765681190929,-2.0761782855010433
n02834778_284,Images/bicycle_imagenet/n02834778_284.JPEG,bicycle,2,73,2258,1549,269.3018989315205,-6.250961579729032,-1.5094016218761603
n02834778_287,Images/bicycle_imagenet/n02834778_287.JPEG,bicycle,8,262,356,488,103.90877804398797,16.34640405281349,-1.9607234448704773
n02834778_2897,Images/bicycle_imagenet/n02834778_2897.JPEG,bicycle,116,258,496,486,68.98081173828844,19.331097477585303,-9.171867094460465
