image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000191,Images/bicycle_pascal/2008_000191.jpg,bicycle,57,194,151,255,267.4507164463287,-0.7248894179931487,5.052061277909601
2008_000792,Images/bicycle_pascal/2008_000792.jpg,bicycle,84,228,109,256,327.44553873856916,3.054807849111725,1.6642633636300168
2008_001626,Images/bicycle_pascal/2008_001626.jpg,bicycle,20,11,439,374,33.320479099663594,10.066069782099676,-25.53424323389959
2008_002204,Images/bicycle_pascal/2008_002204.jpg,bicycle,117,243,247,322,103.04018299427509,16.613048372879142,8.269752298748832
2008_002679,Images/bicycle_pascal/2008_002679.jpg,bicycle,94,103,239,306,52.50000014391613,-17.48256085605794,-20.88891903109183
2008_003329,Images/bicycle_pascal/2008_003329.jpg,bicycle,153,155,186,217,355.32198126143294,6.017587564135736,-8.555509368674343
2008_004280,Images/bicycle_pascal/2008_004280.jpg,bicycle,17,17,499,342,62.911805097000226,9.902398237328683,-1.7667920077534003
2008_004574,Images/bicycle_pascal/2008_004574.jpg,bicycle,104,1,223,97,135.39053898800225,-16.711980218238242,6.973610650518006
2008_005201,Images/bicycle_pascal/2008_005201.jpg,bicycle,252,108,472,359,57.49999992693315,22.499999971515038,15.367246924695186
2008_005412,Images/bicycle_pascal/2008_005412.jpg,bicycle,49,114,367,359,255.8171123178442,-11.573177621540612,16.43239571085462
2008_005713,Images/bicycle_pascal/2008_005713.jpg,bicycle,58,99,382,308,72.50000054165687,17.98293278135952,-8.399003262497688
2008_005902,Images/bicycle_pascal/2008_005902.jpg,bicycle,38,78,67,130,178.05459463268866,12.327393186092639,9.613827068806039
2008_005982,Images/bicycle_pascal/2008_005982.jpg,bicycle,11,16,491,315,83.92114748175935,21.33177630680567,-2.277396068801713
2008_006064,Images/bicycle_pascal/2008_006064.jpg,bicycle,64,274,275,359,242.50000020229044,-53.724819284581756,19.815610727719257
2008_006234,Images/bicycle_pascal/2008_006234.jpg,bicycle,1,1,499,394,304.23091430675254,11.712149117295176,-3.679839904904721
2008_006579,Images/bicycle_pascal/2008_006579.jpg,bicycle,16,27,480,353,57.73353046640531,19.332362339565744,-8.920068225016292
2008_007179,Images/bicycle_pascal/2008_007179.jpg,bicycle,84,211,148,260,303.15282384399933,-4.187905770055684,-6.097154629830556
2008_007265,Images/bicycle_pascal/2008_007265.jpg,bicycle,2,76,313,452,213.62589492632836,10.04316478142448,4.207475793504713
2008_007410,Images/bicycle_pascal/2008_007410.jpg,bicycle,100,191,347,346,85.18908629808715,-15.712060203640613,-2.5987534758424804
