image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02858304_10304,Images/boat_imagenet/n02858304_10304.JPEG,boat,51,10,172,298,314.0411365939861,0.12209629513862105,-0.769587405480248
n02858304_10482,Images/boat_imagenet/n02858304_10482.JPEG,boat,188,158,473,322,337.3538990841859,5.469618461947074,-4.600157030622619
n02858304_1061,Images/boat_imagenet/n02858304_1061.JPEG,boat,88,43,489,220,158.44737544311135,8.674328792280598,3.852913286508432
n02858304_11397,Images/boat_imagenet/n02858304_11397.JPEG,boat,264,60,568,492,269.53161103186255,47.20759109478616,-3.5982748754160268
n02858304_11574,Images/boat_imagenet/n02858304_11574.JPEG,boat,4,20,595,262,278.29788623728666,14.035308895026176,5.0443117296586015
n02858304_13905,Images/boat_imagenet/n02858304_13905.JPEG,boat,29,67,481,252,112.90547313811228,17.63897379554052,-4.956481094036954
n02858304_13926,Images/boat_imagenet/n02858304_13926.JPEG,boat,83,38,244,189,4.144497713634934e-08,-2.615175292660425,4.551862433992784
n02858304_13953,Images/boat_imagenet/n02858304_13953.JPEG,boat,365,290,656,438,111.94010705071054,0.6262157584027429,-2.3886597373167575
n02858304_14537,Images/boat_imagenet/n02858304_14537.JPEG,boat,63,68,329,502,217.93506469132114,2.2872050323444353,4.585302734671951
n02858304_1479,Images/boat_imagenet/n02858304_1479.JPEG,boat,150,41,317,361,353.8744789581537,2.011157324971603,5.331150045225209
n02858304_15617,Images/boat_imagenet/n02858304_15617.JPEG,boat,49,129,431,249,283.5841178789511,23.177253377965584,5.338795754744798
n02858304_1612,Images/boat_imagenet/n02858304_1612.JPEG,boat,74,64,300,314,180.01310067314924,15.13122874972909,-0.5728177392778344
n02858304_16456,Images/boat_imagenet/n02858304_16456.JPEG,boat,23,27,494,272,237.8805113528011,55.129463533300246,-7.2617769236964
n02858304_17236,Images/boat_imagenet/n02858304_17236.JPEG,boat,59,75,375,552,248.0390461044394,-17.091960371260324,5.59110505360032
n02858304_17239,Images/boat_imagenet/n02858304_17239.JPEG,boat,128,102,384,268,247.50000122699893,-2.858734879803358,3.7298606643918975
n02858304_1800,Images/boat_imagenet/n02858304_1800.JPEG,boat,267,71,416,306,125.45302012408325,-1.1587293321053613,-2.0564044865840683
n02858304_18505,Images/boat_imagenet/n02858304_18505.JPEG,boat,34,133,215,236,194.60823458831672,8.600350199031611,-3.22223128307807
n02858304_2007,Images/boat_imagenet/n02858304_2007.JPEG,boat,14,56,489,227,57.500000058062184,33.93020651315344,-9.317971910255928
n02858304_2210,Images/boat_imagenet/n02858304_2210.JPEG,boat,3,40,492,304,4.2875325105015465,5.07666313018237,-0.7404519619144382
n02858304_2232,Images/boat_imagenet/n02858304_2232.JPEG,boat,105,169,291,221,127.63251530077733,2.439438124651819,-0.7884567533711025
n02858304_2317,Images/boat_imagenet/n02858304_2317.JPEG,boat,185,240,335,325,14.777050663866788,5.764394676089533,4.471199827190212
n02858304_24332,Images/boat_imagenet/n02858304_24332.JPEG,boat,22,15,345,503,260.6857813945613,-13.027066632370012,3.4688518654843543
n02858304_25975,Images/boat_imagenet/n02858304_25975.JPEG,boat,58,115,604,284,38.87493127081058,4.254367516635105,0.591663456657433
n02858304_2633,Images/boat_imagenet/n02858304_2633.JPEG,boat,90,32,394,341,1.787389934368317e-08,12.833229588097947,-0.6767375849539782
n02858304_26391,Images/boat_imagenet/n02858304_26391.JPEG,boat,0,62,499,221,86.53843151259265,-1.3722692277175785,-2.5247922471800113
n02858304_2691,Images/boat_imagenet/n02858304_2691.JPEG,boat,20,1,317,348,111.29205957324977,1.038999498493318,-1.8061531704574265
n02858304_27302,Images/boat_imagenet/n02858304_27302.JPEG,boat,211,0,599,541,247.97609249803685,-8.242405202745818,2.488428148891133
n02858304_2946,Images/boat_imagenet/n02858304_2946.JPEG,boat,118,188,234,221,309.63737365957604,5.343207449043486,0.8443906151267336
n02858304_3038,Images/boat_imagenet/n02858304_3038.JPEG,boat,281,155,712,523,343.14788149318406,-9.86533146616835,-18.906421223005218
n02858304_5983,Images/boat_imagenet/n02858304_5983.JPEG,boat,11,118,329,168,97.13395920914482,0.9899238827173533,-1.0525589838161327
n02858304_6749,Images/boat_imagenet/n02858304_6749.JPEG,boat,177,139,500,320,322.9230221629956,23.655161439819384,6.59650460811503
n02858304_6791,Images/boat_imagenet/n02858304_6791.JPEG,boat,173,21,423,237,345.20500968539767,8.59648854133885,3.5927604354874236
n02858304_7997,Images/boat_imagenet/n02858304_7997.JPEG,boat,53,0,369,301,238.15766643055073,14.315139513483006,-6.641166407647772
n02858304_9906,Images/boat_imagenet/n02858304_9906.JPEG,boat,96,87,425,275,303.40941609705436,20.866712288771613,-7.936387692348772
n02858304_9956,Images/boat_imagenet/n02858304_9956.JPEG,boat,44,70,453,245,110.84828827176968,-8.461196042727114,-4.65230879965096
n02858304_9980,Images/boat_imagenet/n02858304_9980.JPEG,boat,20,53,269,395,261.14968389248304,23.006131661145677,-4.293535863947076
n02932891_10221,Images/boat_imagenet/n02932891_10221.JPEG,boat,64,47,298,131,102.49999764544549,12.543122360598678,1.1534747753500485
n02932891_10226,Images/boat_imagenet/n02932891_10226.JPEG,boat,53,59,210,150,343.4503277072669,0.24737802006844004,-7.269992471340701
n02932891_10282,Images/boat_imagenet/n02932891_10282.JPEG,boat,1,121,326,314,323.1449356564686,8.761901805654231,-0.8747234367121854
n02932891_10375,Images/boat_imagenet/n02932891_10375.JPEG,boat,19,81,257,292,8.28603381833884,4.148590449516297,2.6566308636185685
n02932891_10376,Images/boat_imagenet/n02932891_10376.JPEG,boat,90,125,480,258,101.42017729490334,2.474061631384585,-2.425879436006105
n02932891_10440,Images/boat_imagenet/n02932891_10440.JPEG,boat,9,109,321,379,352.0750036971943,-0.45267211579420147,-0.35004187357741867
n02932891_10495,Images/boat_imagenet/n02932891_10495.JPEG,boat,15,12,324,220,232.13422286316958,30.205888620321577,5.79244539888535
n02932891_11255,Images/boat_imagenet/n02932891_11255.JPEG,boat,3,15,298,181,37.208741271215025,-2.801255961653189,3.9500047807212133
n02932891_11287,Images/boat_imagenet/n02932891_11287.JPEG,boat,23,72,317,140,112.49999967934872,13.34861534825778,4.067289549828502
n02932891_11333,Images/boat_imagenet/n02932891_11333.JPEG,boat,70,32,281,173,257.2649921554682,47.40298420099771,17.80182701319482
n02932891_11376,Images/boat_imagenet/n02932891_11376.JPEG,boat,79,128,503,322,30.21778133540986,0.8550141244747045,7.1705801890111145
n02932891_11407,Images/boat_imagenet/n02932891_11407.JPEG,boat,8,28,480,244,87.21964901612195,4.764617695254753,0.6612654110921456
n02932891_11471,Images/boat_imagenet/n02932891_11471.JPEG,boat,20,57,338,190,252.38929157443488,13.639489270942018,0.8865124408779964
n02932891_1214,Images/boat_imagenet/n02932891_1214.JPEG,boat,102,85,557,289,42.26089306544573,-8.2890103712974,-1.1326815936255037
n02932891_12235,Images/boat_imagenet/n02932891_12235.JPEG,boat,59,119,431,212,110.38439896309202,5.825757950251677,-3.0831573371872727
n02932891_12407,Images/boat_imagenet/n02932891_12407.JPEG,boat,320,204,473,268,130.56579851903854,-0.053968058221962024,-7.620162673292908
n02932891_12597,Images/boat_imagenet/n02932891_12597.JPEG,boat,60,4,444,283,28.301326965112608,1.5527336616024898,5.507387375493257
n02932891_12764,Images/boat_imagenet/n02932891_12764.JPEG,boat,154,98,354,289,193.512283978396,3.787901597947011,2.4628932638871737
n02932891_12885,Images/boat_imagenet/n02932891_12885.JPEG,boat,29,48,339,150,279.83310995726185,6.8824012183740875,4.247738017133516
n02932891_13002,Images/boat_imagenet/n02932891_13002.JPEG,boat,35,51,363,188,74.31585077802602,-6.745803455243774,1.5290149841528666
n02932891_13045,Images/boat_imagenet/n02932891_13045.JPEG,boat,26,52,295,212,148.6188114794647,3.1774026162175404,1.309447968873135
