image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000262,Images/boat_pascal/2008_000262.jpg,boat,23,143,430,330,200.00722261309443,0.4577042479881317,-1.268167866903611
2008_000405,Images/boat_pascal/2008_000405.jpg,boat,88,101,383,138,307.67095382259424,12.363410204399809,9.559630712014739
2008_000437,Images/boat_pascal/2008_000437.jpg,boat,65,342,151,374,305.87086578520837,0.704483425564403,3.6099012424396957
2008_000471,Images/boat_pascal/2008_000471.jpg,boat,209,100,337,261,97.49999977830373,-3.490731789869351,-1.8345096642934717
2008_000471,Images/boat_pascal/2008_000471.jpg,boat,326,79,359,112,114.97719842632344,1.9854729126955404,0.059842616673222056
2008_000471,Images/boat_pascal/2008_000471.jpg,boat,90,83,128,136,295.0,-10.0,0.0
2008_000471,Images/boat_pascal/2008_000471.jpg,boat,164,83,197,127,270.0,7.5,0.0
2008_000471,Images/boat_pascal/2008_000471.jpg,boat,194,78,219,121,275.0,0.0,0.0
2008_000567,Images/boat_pascal/2008_000567.jpg,boat,103,51,412,289,231.55341304693968,6.894805071458731,2.2889094746650653
2008_001047,Images/boat_pascal/2008_001047.jpg,boat,124,180,357,291,15.02581065091883,4.593847262103682,-6.057930813194901
2008_001056,Images/boat_pascal/2008_001056.jpg,boat,124,59,232,206,230.3620439668769,4.854452509120172,1.299336892609909
2008_001159,Images/boat_pascal/2008_001159.jpg,boat,26,94,493,261,228.02692119049794,6.201629824694219,2.24072635876249
2008_001159,Images/boat_pascal/2008_001159.jpg,boat,25,124,90,156,240.34900443829713,-4.072952649673174,4.731796737584272
2008_001202,Images/boat_pascal/2008_001202.jpg,boat,1,138,409,332,185.0,15.0,0.0
2008_001389,Images/boat_pascal/2008_001389.jpg,boat,39,73,290,428,257.50000002736,-15.776253733274864,1.9693876219182935
2008_001389,Images/boat_pascal/2008_001389.jpg,boat,53,385,73,392,310.0,0.0,0.0
2008_001389,Images/boat_pascal/2008_001389.jpg,boat,1,385,28,395,315.0,0.0,0.0
2008_001389,Images/boat_pascal/2008_001389.jpg,boat,289,371,315,392,20.87340194373701,-2.048282000330816,5.727471581974759
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,121,50,164,205,1.9092071599299312,3.0043567129443076,3.0534702576986703
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,263,148,328,210,353.0022734768331,1.8496413402112393,2.751594444787732
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,325,195,353,205,90.0,0.0,0.0
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,370,141,400,154,275.0,0.0,0.0
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,410,143,432,152,310.0,0.0,0.0
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,431,141,453,153,305.0,0.0,0.0
2008_001620,Images/boat_pascal/2008_001620.jpg,boat,451,139,472,152,305.0,0.0,0.0
2008_001849,Images/boat_pascal/2008_001849.jpg,boat,368,87,402,223,358.2615478313841,8.373099130342279,2.6261858568646432
2008_001849,Images/boat_pascal/2008_001849.jpg,boat,424,92,463,228,197.47966979101886,-5.873089498572819,2.921924918746834
2008_001849,Images/boat_pascal/2008_001849.jpg,boat,29,175,297,237,47.22147348068891,-5.94002863475003,1.7758304765800745
2008_001970,Images/boat_pascal/2008_001970.jpg,boat,233,157,268,181,2.2488492542015744e-05,0.8223775983035327,3.8978351238203492
2008_001970,Images/boat_pascal/2008_001970.jpg,boat,181,157,216,184,0.5294515682430347,-1.4844659578690618,-0.05002275542608793
2008_002131,Images/boat_pascal/2008_002131.jpg,boat,91,172,173,237,356.93446911133293,-2.5974588117510553,1.6780666210868316
2008_002131,Images/boat_pascal/2008_002131.jpg,boat,173,174,251,226,10.11925901595564,3.07489816827873,7.093717378758889
2008_002131,Images/boat_pascal/2008_002131.jpg,boat,332,166,391,201,7.973595417587315,2.7854364175501054,15.322015814877517
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,409,183,456,217,247.5000649451508,-5.575555624478953,-1.4302058766762762
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,417,186,425,195,100.0,0.0,0.0
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,425,186,431,194,90.0,0.0,0.0
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,429,184,434,192,105.0,0.0,0.0
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,400,185,406,193,0.0,0.0,0.0
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,368,175,398,188,297.4999905018585,-0.44008635281510783,-4.2912355521578185
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,219,175,278,226,89.50820666007938,4.646112931086902,-1.718582625886146
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,110,180,140,203,104.77406357251832,9.601957616498948,0.14491345520239954
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,28,182,50,201,110.0,0.0,0.0
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,291,186,323,208,90.81700140174749,12.676132500921641,-2.142330702686986
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,230,184,248,200,95.0,0.0,0.0
2008_002281,Images/boat_pascal/2008_002281.jpg,boat,216,183,234,196,100.0,0.0,0.0
2008_002422,Images/boat_pascal/2008_002422.jpg,boat,442,11,495,153,179.9626157557824,0.0010092743920564167,3.731404338407888
2008_002482,Images/boat_pascal/2008_002482.jpg,boat,110,263,162,298,12.506291495292173,1.9277559075262132,5.925269876806053
