image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000015,Images/bottle_pascal/2008_000015.jpg,bottle,270,1,378,176,2.3847096619178557e-07,5.274141078529751,0.034500722024557465
2008_000015,Images/bottle_pascal/2008_000015.jpg,bottle,57,1,164,150,2.8075241840496836e-07,2.1653931012681187,0.6827369161620358
2008_000023,Images/bottle_pascal/2008_000023.jpg,bottle,40,97,121,411,4.258209008987458e-07,-0.29104472048587005,-1.3070157547888344
2008_000112,Images/bottle_pascal/2008_000112.jpg,bottle,324,1,394,116,22.499999856782633,-0.3593156752317314,-2.065092400748126
2008_000154,Images/bottle_pascal/2008_000154.jpg,bottle,39,194,111,295,0.975319415906799,34.99999950615658,24.338468390866915
2008_000196,Images/bottle_pascal/2008_000196.jpg,bottle,432,1,465,58,3.2877482091132747e-06,10.020054921065302,8.792432807634889
2008_000196,Images/bottle_pascal/2008_000196.jpg,bottle,481,12,499,42,8.634852383314442,22.49999319211142,-14.041384957060037
2008_000202,Images/bottle_pascal/2008_000202.jpg,bottle,430,258,454,322,0.794909965345222,10.754346701618356,-3.804645751835417
2008_000290,Images/bottle_pascal/2008_000290.jpg,bottle,389,156,481,370,1.7783527184773105,-4.3222586130326395,4.420873115825348
2008_000393,Images/bottle_pascal/2008_000393.jpg,bottle,429,228,439,246,7.180621732110532e-05,-6.158502205443971,0.26205897045336923
2008_000393,Images/bottle_pascal/2008_000393.jpg,bottle,423,226,431,248,2.205305568965487e-05,18.54367417540557,0.9652552467134199
2008_000393,Images/bottle_pascal/2008_000393.jpg,bottle,418,230,427,250,0.00015438240927292336,18.57885753845697,2.1214104336888027
2008_000393,Images/bottle_pascal/2008_000393.jpg,bottle,410,229,419,261,9.70275046041628,4.139695642107284,0.9655260596139075
2008_000421,Images/bottle_pascal/2008_000421.jpg,bottle,409,128,426,158,1.5620127422822154e-05,7.800898629342183,-5.217763277680435
2008_000495,Images/bottle_pascal/2008_000495.jpg,bottle,401,124,434,179,5.210773147045278,34.18286051256539,-7.96820009758875
