image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02823428_1001,Images/bottle_imagenet/n02823428_1001.JPEG,bottle,89,39,208,472,1.01160993773653,5.186337561059269,0.6747970403985852
n02823428_1051,Images/bottle_imagenet/n02823428_1051.JPEG,bottle,297,1,383,326,0.44278629241833145,6.540433111755096,-0.33552821692882456
n02823428_1052,Images/bottle_imagenet/n02823428_1052.JPEG,bottle,120,17,233,452,0.5410253813872602,6.497066940236933,0.7899192591786813
n02823428_1079,Images/bottle_imagenet/n02823428_1079.JPEG,bottle,29,145,490,313,3.4834924561289897e-09,11.152889127965997,-87.46455446161421
n02823428_1091,Images/bottle_imagenet/n02823428_1091.JPEG,bottle,181,14,332,374,4.734183007178502,-43.8065751260875,1.7381431717356564
n02823428_1119,Images/bottle_imagenet/n02823428_1119.JPEG,bottle,178,14,255,281,2.883901431222176,-2.070089911138069,-0.23845329605734084
n02823428_1121,Images/bottle_imagenet/n02823428_1121.JPEG,bottle,176,2,322,369,2.1801290627128274,16.54007373792349,1.9538615869461824
n02823428_1128,Images/bottle_imagenet/n02823428_1128.JPEG,bottle,125,0,262,489,1.8968028206813883,-2.3599779989036627,0.6778516822510174
n02823428_1133,Images/bottle_imagenet/n02823428_1133.JPEG,bottle,84,58,205,421,6.0066256656088495,19.999999635360986,-4.36853489124649
n02823428_11340,Images/bottle_imagenet/n02823428_11340.JPEG,bottle,94,23,210,484,8.233173763221183,-0.7027646202133757,0.6888409822848576
n02823428_1149,Images/bottle_imagenet/n02823428_1149.JPEG,bottle,34,65,249,379,2.3820908790039984e-07,-8.980799410649873,-29.118870938851988
n02823428_11607,Images/bottle_imagenet/n02823428_11607.JPEG,bottle,10,1,163,484,1.0845287801248646,22.260629113069303,0.439354225595531
n02823428_1162,Images/bottle_imagenet/n02823428_1162.JPEG,bottle,32,10,162,450,0.24796407541457846,-5.506437238790239,-1.8495197134046364
n02823428_11841,Images/bottle_imagenet/n02823428_11841.JPEG,bottle,71,39,203,470,3.429580334172347,16.684988430705804,2.410667022927529
n02823428_1206,Images/bottle_imagenet/n02823428_1206.JPEG,bottle,392,32,462,310,0.9505614942460586,1.2578741262023405,-0.09274995078554264
n02823428_1246,Images/bottle_imagenet/n02823428_1246.JPEG,bottle,107,69,221,463,10.339683886586418,29.77224205369803,1.9070662185501035
n02823428_1251,Images/bottle_imagenet/n02823428_1251.JPEG,bottle,322,135,411,352,3.1956709178926004,38.18292509796866,-9.2002919609716
n02823428_1325,Images/bottle_imagenet/n02823428_1325.JPEG,bottle,126,27,252,475,7.3119096306941325,24.450327515992594,1.1332137769319184
n02823428_1343,Images/bottle_imagenet/n02823428_1343.JPEG,bottle,113,59,224,439,2.8315697358759078,22.499999925981204,0.6005480062587801
n02823428_1348,Images/bottle_imagenet/n02823428_1348.JPEG,bottle,186,5,288,368,7.388033834777361,17.53463542333814,-0.9820662213019589
n02823428_1435,Images/bottle_imagenet/n02823428_1435.JPEG,bottle,22,8,144,484,2.5887263109006105,8.505870381960605,-2.49109740433181
n02823428_14574,Images/bottle_imagenet/n02823428_14574.JPEG,bottle,86,15,215,498,4.92470534102429,-10.05574401491755,0.10483273946447959
n02823428_14632,Images/bottle_imagenet/n02823428_14632.JPEG,bottle,135,23,252,469,2.301557186375853,11.341442869795554,0.6247506405767039
n02823428_14867,Images/bottle_imagenet/n02823428_14867.JPEG,bottle,60,173,126,369,3.4699157409241757,22.49999989350338,0.6388435332161332
n02823428_14867,Images/bottle_imagenet/n02823428_14867.JPEG,bottle,186,88,256,370,0.20937036997119973,7.764811143176381,-0.21652558240352662
n02823428_1495,Images/bottle_imagenet/n02823428_1495.JPEG,bottle,200,56,277,331,1.4546291812187104,7.904134063862489,0.0929522313916506
n02823428_1527,Images/bottle_imagenet/n02823428_1527.JPEG,bottle,79,98,150,333,7.797058207955221,2.2821279745126763,0.5541211329778052
n02823428_1545,Images/bottle_imagenet/n02823428_1545.JPEG,bottle,369,109,484,319,0.7760567024862042,-33.749031410861775,15.662735587649072
n02823428_1581,Images/bottle_imagenet/n02823428_1581.JPEG,bottle,130,46,246,442,3.6597515362895,8.462112306166862,-1.372612375076937
