image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02924116_10156,Images/bus_imagenet/n02924116_10156.JPEG,bus,73,57,424,338,21.09565506751414,-3.7978649671105535,-0.5443482460000463
n02924116_10769,Images/bus_imagenet/n02924116_10769.JPEG,bus,121,94,391,273,16.99028142352855,0.9595100713507917,-0.44961344696609173
n02924116_108764,Images/bus_imagenet/n02924116_108764.JPEG,bus,41,11,463,359,348.7128787463335,0.2371951579273579,-0.057759259423604596
n02924116_10896,Images/bus_imagenet/n02924116_10896.JPEG,bus,49,82,457,269,320.28713567158576,-3.181898037480122,-0.37942295693817385
n02924116_111546,Images/bus_imagenet/n02924116_111546.JPEG,bus,3,118,357,367,333.0020357398292,-0.6665607413095005,-1.945524235200281
n02924116_1127,Images/bus_imagenet/n02924116_1127.JPEG,bus,43,11,442,320,339.7162964972322,-1.9104018787251893,-1.1224387480766254
n02924116_113430,Images/bus_imagenet/n02924116_113430.JPEG,bus,151,155,541,400,348.62587097578114,-1.2212758024398576,-0.9650396147347529
n02924116_114130,Images/bus_imagenet/n02924116_114130.JPEG,bus,78,81,452,311,38.13593047429321,-2.5085023948020266,2.695254639038566
n02924116_11420,Images/bus_imagenet/n02924116_11420.JPEG,bus,42,92,471,326,212.84066159847652,-0.752170356862895,1.638880482657566
n02924116_12486,Images/bus_imagenet/n02924116_12486.JPEG,bus,78,40,441,374,21.54853675774087,2.0491080511912987,-2.3051155805617345
n02924116_12892,Images/bus_imagenet/n02924116_12892.JPEG,bus,11,52,379,339,335.19600010222746,-4.1057266177144935,0.1420300795828219
n02924116_1298,Images/bus_imagenet/n02924116_1298.JPEG,bus,69,9,436,353,19.425941303316897,-0.884971061180652,-2.680112910685985
n02924116_13597,Images/bus_imagenet/n02924116_13597.JPEG,bus,21,17,496,331,20.976963778737762,0.14919382241350337,1.7904214730966612
n02924116_13751,Images/bus_imagenet/n02924116_13751.JPEG,bus,98,51,407,308,337.86077158137505,-1.5965361008620402,2.828904870992763
n02924116_13888,Images/bus_imagenet/n02924116_13888.JPEG,bus,44,83,467,235,49.248873398462536,-1.4609739918645364,3.416726050434431
n02924116_13992,Images/bus_imagenet/n02924116_13992.JPEG,bus,3,14,443,360,331.71694099360604,1.557183568510176,5.860719596737131
n02924116_14214,Images/bus_imagenet/n02924116_14214.JPEG,bus,14,29,443,361,335.64067423594497,-2.2502859159136888,-1.7058426819900816
n02924116_15644,Images/bus_imagenet/n02924116_15644.JPEG,bus,47,57,472,349,17.336944387045616,2.2795470339910295,-2.205271517793936
n02924116_1579,Images/bus_imagenet/n02924116_1579.JPEG,bus,69,74,435,258,330.41839310682246,2.473824663618748,-1.6548303029721558
n02924116_16439,Images/bus_imagenet/n02924116_16439.JPEG,bus,92,62,440,300,349.3080327183215,1.8395670669864594,0.7152317786781759
n02924116_16459,Images/bus_imagenet/n02924116_16459.JPEG,bus,150,58,416,341,11.175450721203905,-1.1407286835263133,-0.9492901512196912
n02924116_16488,Images/bus_imagenet/n02924116_16488.JPEG,bus,78,20,424,280,15.077886789654828,-0.33249773027955365,1.3989717350018902
n02924116_16551,Images/bus_imagenet/n02924116_16551.JPEG,bus,29,15,451,363,15.046794556061935,-0.7077223009010657,4.30865752735209
n02924116_16888,Images/bus_imagenet/n02924116_16888.JPEG,bus,69,29,461,341,26.17660214282594,-0.8692134039279332,5.9198196258011375
n02924116_1746,Images/bus_imagenet/n02924116_1746.JPEG,bus,138,170,1004,540,325.5346066243385,-0.439968623881923,-3.0690594312321617
n02924116_18077,Images/bus_imagenet/n02924116_18077.JPEG,bus,18,33,499,290,328.64569483351784,2.270089928715147,-0.6186125928576773
n02924116_1867,Images/bus_imagenet/n02924116_1867.JPEG,bus,80,229,292,380,344.08971459459923,0.6001072204149943,2.5661635271838072
n02924116_19696,Images/bus_imagenet/n02924116_19696.JPEG,bus,71,63,430,215,41.466743701724965,-6.098762915830213,0.010819612269689517
n02924116_19771,Images/bus_imagenet/n02924116_19771.JPEG,bus,65,48,463,305,337.9657130151317,1.093731471200218,3.4254486084077027
n02924116_2,Images/bus_imagenet/n02924116_2.JPEG,bus,41,58,411,289,336.88761688348944,-0.47425357200698187,4.446882066472643
n02924116_20498,Images/bus_imagenet/n02924116_20498.JPEG,bus,46,129,485,328,336.18945826875586,4.611793732788844,8.593854565988705
n02924116_20675,Images/bus_imagenet/n02924116_20675.JPEG,bus,41,83,440,299,334.8175731209069,0.9524041167850169,-7.151906266518484
n02924116_22311,Images/bus_imagenet/n02924116_22311.JPEG,bus,40,122,461,321,328.4034214069202,-2.3391527128622793,0.30677554090334175
n02924116_23175,Images/bus_imagenet/n02924116_23175.JPEG,bus,92,119,411,321,344.45311256301517,-0.66849184942869,-0.12690620650618292
n02924116_23893,Images/bus_imagenet/n02924116_23893.JPEG,bus,43,72,462,343,336.69714546130785,0.7803798928697355,1.6215094583953564
n02924116_2444,Images/bus_imagenet/n02924116_2444.JPEG,bus,11,85,368,466,16.604351390502046,-0.4255197545642477,-0.929278432478581
n02924116_2499,Images/bus_imagenet/n02924116_2499.JPEG,bus,5,4,427,373,166.10055186898848,0.8079366559086526,3.1840396734424496
n02924116_2528,Images/bus_imagenet/n02924116_2528.JPEG,bus,115,37,360,368,6.572127792489409,2.5150316416506384,-1.2957151288604616
n02924116_25394,Images/bus_imagenet/n02924116_25394.JPEG,bus,14,58,419,315,321.8980620679603,-3.5255217889275685,1.346455102074861
n02924116_25618,Images/bus_imagenet/n02924116_25618.JPEG,bus,29,11,468,302,21.316045249571925,-1.22201075324387,1.680419179443129
n02924116_25807,Images/bus_imagenet/n02924116_25807.JPEG,bus,104,66,414,347,18.81426044829822,-1.7185166887982075,5.542236012321791
n02924116_2599,Images/bus_imagenet/n02924116_2599.JPEG,bus,228,109,363,316,1.0584257254605205,-2.4218300831259647,3.6085186385726566
n02924116_26282,Images/bus_imagenet/n02924116_26282.JPEG,bus,24,86,468,291,123.86415512365724,4.045042805825797,3.0834535254098103
n02924116_2680,Images/bus_imagenet/n02924116_2680.JPEG,bus,71,114,380,276,42.499999956551186,-3.127143735197763,2.975771932145213
n02924116_26982,Images/bus_imagenet/n02924116_26982.JPEG,bus,101,119,442,294,329.46355015475734,-0.6127971532961235,-0.3060794371561027
n02924116_27076,Images/bus_imagenet/n02924116_27076.JPEG,bus,9,37,462,242,316.10257112504576,-3.127824502078325,-3.5448325280778477
n02924116_27118,Images/bus_imagenet/n02924116_27118.JPEG,bus,13,97,359,352,333.24696268513514,-4.031527064305763,-2.473933640739323
n02924116_27473,Images/bus_imagenet/n02924116_27473.JPEG,bus,14,3,493,369,334.12044158180663,-2.204980001823077,-0.8630347394689406
n02924116_27606,Images/bus_imagenet/n02924116_27606.JPEG,bus,74,24,436,342,194.32672015506907,-0.3894156012729479,-0.38961070619407046
n02924116_28511,Images/bus_imagenet/n02924116_28511.JPEG,bus,47,40,369,291,339.04761355951945,-0.685882442289597,0.7009033723771613
n02924116_29180,Images/bus_imagenet/n02924116_29180.JPEG,bus,81,15,438,291,336.02761859917644,-4.832751292837135,-0.6160505263860072
n02924116_30531,Images/bus_imagenet/n02924116_30531.JPEG,bus,83,88,405,225,312.9850218196357,2.3635636353248928,1.7556860713904718
n02924116_30609,Images/bus_imagenet/n02924116_30609.JPEG,bus,177,50,446,288,352.10856299458203,-0.875519528925944,-0.4497770003087322
n02924116_30658,Images/bus_imagenet/n02924116_30658.JPEG,bus,26,58,445,301,148.63440584586874,-0.8739465454918398,-1.1118431836066416
n02924116_31003,Images/bus_imagenet/n02924116_31003.JPEG,bus,174,125,410,314,16.655194225264907,-2.433660930888261,1.7642165688986915
n02924116_3156,Images/bus_imagenet/n02924116_3156.JPEG,bus,69,32,421,317,10.183462174173242,3.0044231027806507,-0.6061349914610671
n02924116_31817,Images/bus_imagenet/n02924116_31817.JPEG,bus,141,44,327,343,1.2140505897394678,2.2202222260839504,0.382002001326942
n02924116_319,Images/bus_imagenet/n02924116_319.JPEG,bus,59,49,453,317,17.15960435442317,0.41872176863822663,2.3914293120848025
n02924116_32441,Images/bus_imagenet/n02924116_32441.JPEG,bus,37,88,478,290,318.49978987903353,0.2546841823462621,1.2898308443357465
n02924116_32582,Images/bus_imagenet/n02924116_32582.JPEG,bus,84,32,369,305,345.06411603045865,-0.21783238299718968,4.078024211492562
n02924116_32997,Images/bus_imagenet/n02924116_32997.JPEG,bus,45,17,489,469,1.6682277312923033,-0.7049043085047132,-0.018673792882767985
n02924116_33139,Images/bus_imagenet/n02924116_33139.JPEG,bus,12,74,457,296,322.35639262323315,-3.893597682316469,-0.42477712459692696
n02924116_33278,Images/bus_imagenet/n02924116_33278.JPEG,bus,60,119,467,284,36.9621690726272,-1.42907002576159,-1.3539069655446414
n02924116_33299,Images/bus_imagenet/n02924116_33299.JPEG,bus,51,72,465,351,329.9447924378764,-2.213405145334644,-1.9774468588184337
n02924116_33300,Images/bus_imagenet/n02924116_33300.JPEG,bus,93,97,357,293,14.247828951625866,3.007553353302822,1.8468522477610727
n02924116_33314,Images/bus_imagenet/n02924116_33314.JPEG,bus,45,56,295,456,180.99948066974832,-2.2040155799542394,0.35633889979561806
n02924116_33615,Images/bus_imagenet/n02924116_33615.JPEG,bus,99,65,378,332,5.162509712897884,0.6259991181401156,-1.946840670042882
n02924116_3388,Images/bus_imagenet/n02924116_3388.JPEG,bus,14,19,480,349,339.5126343262131,1.0267020723989808,-3.6050825116491505
n02924116_3470,Images/bus_imagenet/n02924116_3470.JPEG,bus,96,24,607,476,21.65446575573918,-1.2424648684153616,-1.832341036943671
n02924116_35003,Images/bus_imagenet/n02924116_35003.JPEG,bus,94,87,381,275,338.3504193543741,-1.8824790978374548,-1.7656235167596157
n02924116_3509,Images/bus_imagenet/n02924116_3509.JPEG,bus,56,29,488,374,147.49999999662217,-0.8777120170466176,3.8927601998485715
n02924116_35248,Images/bus_imagenet/n02924116_35248.JPEG,bus,55,18,442,229,292.4999997808686,2.8402657982619166,2.5156442656464804
n02924116_35352,Images/bus_imagenet/n02924116_35352.JPEG,bus,93,94,474,296,322.5383598487429,5.6822433783771285,2.9655980951311625
n02924116_35911,Images/bus_imagenet/n02924116_35911.JPEG,bus,91,62,381,276,337.50183824278736,-1.492598624543712,0.8689510898936472
n02924116_35957,Images/bus_imagenet/n02924116_35957.JPEG,bus,72,90,441,279,329.90897995018435,-0.8831466225116316,2.835808804109091
n02924116_35958,Images/bus_imagenet/n02924116_35958.JPEG,bus,101,21,431,297,21.359224959594314,-2.5105068651180478,3.2414176920946436
n02924116_36073,Images/bus_imagenet/n02924116_36073.JPEG,bus,52,104,466,301,318.50508455735917,0.7390554882154126,-0.6721091503520087
n02924116_36188,Images/bus_imagenet/n02924116_36188.JPEG,bus,69,61,482,268,28.632697697849732,-0.3577761657572337,3.8784997213002117
n02924116_36552,Images/bus_imagenet/n02924116_36552.JPEG,bus,28,91,444,321,331.04450016965467,-0.2874037622978465,1.0002839684341318
n02924116_3686,Images/bus_imagenet/n02924116_3686.JPEG,bus,10,64,464,308,330.08489169719587,0.1609670379064319,-0.4820069166622229
n02924116_37238,Images/bus_imagenet/n02924116_37238.JPEG,bus,96,112,288,346,178.3918246780749,1.9169265183551585,0.3872044909477459
n02924116_37402,Images/bus_imagenet/n02924116_37402.JPEG,bus,112,29,472,317,20.576703803644754,-2.230899581423739,2.773046874642365
n02924116_37543,Images/bus_imagenet/n02924116_37543.JPEG,bus,85,77,419,283,23.982801460295427,0.3372405280150487,2.099615355789443
n02924116_37730,Images/bus_imagenet/n02924116_37730.JPEG,bus,143,127,333,308,193.85879022773105,-0.5253618214680528,2.3591745748663384
n02924116_37880,Images/bus_imagenet/n02924116_37880.JPEG,bus,64,6,487,339,332.227284926256,0.4370549870557211,4.4414550289003465
n02924116_37936,Images/bus_imagenet/n02924116_37936.JPEG,bus,30,9,369,251,336.2295763568419,-1.3950723774935512,-0.1002511360964981
n02924116_38182,Images/bus_imagenet/n02924116_38182.JPEG,bus,184,96,388,250,13.63470578822276,0.5067524976952762,-0.6110858174947229
n02924116_38316,Images/bus_imagenet/n02924116_38316.JPEG,bus,32,34,241,171,340.67547807144865,1.0376887772766197,1.5713543209825858
n02924116_38373,Images/bus_imagenet/n02924116_38373.JPEG,bus,135,210,325,406,13.650789719539459,-1.4202358270609798,-0.1422369708797334
n02924116_38476,Images/bus_imagenet/n02924116_38476.JPEG,bus,5,6,327,498,1.6606979253803271,-2.292683800122417,-2.349494925016087
n02924116_38523,Images/bus_imagenet/n02924116_38523.JPEG,bus,31,3,457,370,23.667082073801115,-2.117893547786176,1.5530419906178676
n02924116_39141,Images/bus_imagenet/n02924116_39141.JPEG,bus,108,38,413,308,337.4616395694562,0.5349249914215387,3.1589938506982684
n02924116_39288,Images/bus_imagenet/n02924116_39288.JPEG,bus,108,136,343,282,200.55396524266004,0.09861063990297025,2.0056548424262974
n02924116_39685,Images/bus_imagenet/n02924116_39685.JPEG,bus,41,97,471,267,210.6474821587237,-0.4916440132877802,-0.3327773901538083
n02924116_39806,Images/bus_imagenet/n02924116_39806.JPEG,bus,82,33,447,302,17.247878095494098,-1.5536569307969406,2.2043901857785477
n02924116_4002,Images/bus_imagenet/n02924116_4002.JPEG,bus,43,20,460,273,331.243815375099,-0.2894805867730949,1.7123586605335637
n02924116_40364,Images/bus_imagenet/n02924116_40364.JPEG,bus,88,19,481,352,13.605891939458527,-1.3246227154442451,2.220462336055947
n02924116_40372,Images/bus_imagenet/n02924116_40372.JPEG,bus,35,6,472,360,338.38569114595833,-1.1069071224564917,-0.7931897104954594
n02924116_40547,Images/bus_imagenet/n02924116_40547.JPEG,bus,54,48,489,325,40.342548990066476,0.6076213001375743,-6.0486298727344865
n02924116_40563,Images/bus_imagenet/n02924116_40563.JPEG,bus,53,77,419,312,337.9681819926749,0.27647325150881946,0.8837677297623833
n02924116_41097,Images/bus_imagenet/n02924116_41097.JPEG,bus,80,34,432,346,9.143621752835202,0.7034540157463889,-0.19846705601956624
n02924116_41124,Images/bus_imagenet/n02924116_41124.JPEG,bus,4,35,493,277,325.03648247842307,1.5893255571747176,0.7584653014320623
n02924116_41331,Images/bus_imagenet/n02924116_41331.JPEG,bus,29,7,349,498,178.3165955480104,-2.1183175911455137,4.267853036235596
n02924116_414,Images/bus_imagenet/n02924116_414.JPEG,bus,74,70,307,316,5.459386386360969e-05,1.770628379331223,1.7790083874259175
n02924116_42400,Images/bus_imagenet/n02924116_42400.JPEG,bus,23,49,476,294,329.48864699008766,0.32393568292174885,0.2957533964075825
n02924116_42504,Images/bus_imagenet/n02924116_42504.JPEG,bus,117,99,374,309,21.280696780916617,-0.9984973643144569,0.7596541351145311
n02924116_4273,Images/bus_imagenet/n02924116_4273.JPEG,bus,71,27,407,375,5.302726642755122,-0.06765301274076231,-3.2796613247547484
n02924116_42922,Images/bus_imagenet/n02924116_42922.JPEG,bus,20,22,456,345,23.95303349551244,-5.538715087178312,5.788543026430337
n02924116_43019,Images/bus_imagenet/n02924116_43019.JPEG,bus,6,108,494,285,73.82936775298384,-8.360544630708466,7.350552889623609
n02924116_4404,Images/bus_imagenet/n02924116_4404.JPEG,bus,94,116,213,270,3.460026574396057e-05,-2.2387030526983387,-3.3947133286679447
n02924116_44239,Images/bus_imagenet/n02924116_44239.JPEG,bus,149,317,419,456,29.57539737843683,-3.5516186686207525,5.994260386612976
n02924116_4437,Images/bus_imagenet/n02924116_4437.JPEG,bus,37,55,486,196,94.7264416396517,-7.567908390985096,-1.7167599055511686
n02924116_44492,Images/bus_imagenet/n02924116_44492.JPEG,bus,65,18,468,328,337.7456666077705,-2.7104788340383794,-2.547797251374998
n02924116_44909,Images/bus_imagenet/n02924116_44909.JPEG,bus,113,46,432,323,19.368561807983692,-6.076468580327552,2.207059146518839
n02924116_45247,Images/bus_imagenet/n02924116_45247.JPEG,bus,30,20,479,328,27.906124376584426,-1.8077268844838454,0.1566988570533672
n02924116_4599,Images/bus_imagenet/n02924116_4599.JPEG,bus,141,59,442,336,13.30611952795016,4.911920771103459,-8.87972828853453
n02924116_46501,Images/bus_imagenet/n02924116_46501.JPEG,bus,85,38,475,340,24.779764441249554,2.257388906450678,-8.394011178716271
n02924116_46692,Images/bus_imagenet/n02924116_46692.JPEG,bus,26,25,382,344,196.73099782428548,0.2912907784423637,3.891926029739585
n02924116_47162,Images/bus_imagenet/n02924116_47162.JPEG,bus,72,37,399,328,196.48826399202997,-0.20338034813801775,3.762786590558657
n02924116_48361,Images/bus_imagenet/n02924116_48361.JPEG,bus,40,64,485,321,25.18667876303396,1.5478022636537487,1.235521026206346
n02924116_48930,Images/bus_imagenet/n02924116_48930.JPEG,bus,98,25,373,253,339.89302630687473,-1.6102128043538784,-2.832555807680064
