image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n02814533_10069,Images/car_imagenet/n02814533_10069.JPEG,car,46,75,486,301,319.9055105608036,10.815647995332945,2.2938998127071772
n02814533_1015,Images/car_imagenet/n02814533_1015.JPEG,car,49,70,457,320,340.27672557348865,13.092496696687755,6.798049369043831
n02814533_10245,Images/car_imagenet/n02814533_10245.JPEG,car,17,44,268,169,32.30468310683726,8.69962960220344,-0.8784153722541009
n02814533_10290,Images/car_imagenet/n02814533_10290.JPEG,car,57,72,407,305,173.90929970789242,0.5791009773636876,1.9911663637279062
n02814533_10329,Images/car_imagenet/n02814533_10329.JPEG,car,233,225,762,463,228.24351297873983,10.06564489420893,-0.0043446559505337075
n02814533_1040,Images/car_imagenet/n02814533_1040.JPEG,car,29,134,446,269,101.01678332055994,-0.39384705099199846,-1.6066138011019104
n02814533_10552,Images/car_imagenet/n02814533_10552.JPEG,car,42,85,477,344,58.65320065777542,30.988234681971637,-1.2148270816264533
n02814533_10594,Images/car_imagenet/n02814533_10594.JPEG,car,57,40,549,455,179.44273299248908,-1.8053882427493684,-0.7786302261838263
n02814533_10701,Images/car_imagenet/n02814533_10701.JPEG,car,73,72,480,237,306.36154304526286,1.2249116637220079,0.3203273367793888
n02814533_10818,Images/car_imagenet/n02814533_10818.JPEG,car,67,110,396,274,167.31872652266523,2.68061507782332,-2.4247833135846704
n02814533_10971,Images/car_imagenet/n02814533_10971.JPEG,car,81,96,437,318,203.34824538509537,10.615970968469114,-1.4347888818431893
n02814533_10986,Images/car_imagenet/n02814533_10986.JPEG,car,30,90,359,210,52.294537191862055,3.5986158592817707,-3.2159268137368886
n02814533_10999,Images/car_imagenet/n02814533_10999.JPEG,car,49,111,479,269,108.85280663659843,4.582525618049087,-0.7162167524508427
n02814533_11017,Images/car_imagenet/n02814533_11017.JPEG,car,19,140,496,335,54.89511110252666,4.516553251595782,-0.949593079667343
n02814533_11051,Images/car_imagenet/n02814533_11051.JPEG,car,18,50,487,240,235.01052344213622,6.825097481595879,2.9469474095611314
n02814533_11056,Images/car_imagenet/n02814533_11056.JPEG,car,42,36,442,273,22.370768999597498,7.66404076828449,-2.518605523322106
n02814533_11078,Images/car_imagenet/n02814533_11078.JPEG,car,136,173,1253,817,19.728298578077368,-2.695351378086608,-1.7628332626762486
n02814533_1120,Images/car_imagenet/n02814533_1120.JPEG,car,59,124,461,308,297.04567992844596,16.01425149569632,3.4963566091279787
