image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000041,Images/chair_pascal/2008_000041.jpg,chair,265,250,353,364,148.02479635626614,17.377539710787378,-2.564674656942685
2008_000041,Images/chair_pascal/2008_000041.jpg,chair,189,260,286,374,154.53507735187023,17.63411573139358,-0.6054015771973005
2008_000070,Images/chair_pascal/2008_000070.jpg,chair,255,247,371,374,136.74256454221262,8.061145393244662,-0.9461588525832269
2008_000089,Images/chair_pascal/2008_000089.jpg,chair,71,18,307,494,1.418028916850445e-07,42.71282316131064,0.9222997003524656
2008_000760,Images/chair_pascal/2008_000760.jpg,chair,102,20,337,362,30.228491041664988,37.49999998845683,4.902473347307725
2008_000914,Images/chair_pascal/2008_000914.jpg,chair,13,57,267,276,229.20902609503122,27.651392370887674,1.3385732763522766
2008_001467,Images/chair_pascal/2008_001467.jpg,chair,55,107,151,259,53.1572903817818,11.697629915396258,2.980318827713159
2008_001617,Images/chair_pascal/2008_001617.jpg,chair,105,239,278,348,2.839706669498091e-07,2.9655900409493134,2.6473455702973374
2008_001617,Images/chair_pascal/2008_001617.jpg,chair,358,222,486,346,183.15228821653838,22.524698054899066,3.2518989045435185
2008_001641,Images/chair_pascal/2008_001641.jpg,chair,227,278,320,430,56.02371920189842,14.311121132798114,-5.041911664905226
2008_001751,Images/chair_pascal/2008_001751.jpg,chair,142,135,244,283,224.8339727537533,9.199032627790034,2.195019286028019
2008_001783,Images/chair_pascal/2008_001783.jpg,chair,38,51,303,446,33.12026875189491,20.090555560043775,1.732198254616859
2008_001997,Images/chair_pascal/2008_001997.jpg,chair,148,165,309,374,96.67347732908304,27.92114104028679,-9.564172852380356
2008_002218,Images/chair_pascal/2008_002218.jpg,chair,246,68,428,310,339.25841427053274,15.74050579409943,-5.323102873350183
2008_002448,Images/chair_pascal/2008_002448.jpg,chair,113,233,147,287,315.30299584708473,7.03687697055416,1.2438413673909314
2008_003252,Images/chair_pascal/2008_003252.jpg,chair,136,77,436,373,338.89722811868955,26.581114636915018,-5.844260789985396
2008_003378,Images/chair_pascal/2008_003378.jpg,chair,68,261,113,334,276.17352142940894,0.8093899256812569,3.461978117577657
2008_004008,Images/chair_pascal/2008_004008.jpg,chair,206,181,331,354,270.65767038138125,36.367810992661695,5.033736318170019
2008_004008,Images/chair_pascal/2008_004008.jpg,chair,350,251,499,374,161.75171920131194,38.090469858757395,-6.285850629876771
2008_004313,Images/chair_pascal/2008_004313.jpg,chair,346,161,410,279,73.58024964113109,13.63843501932731,2.9984092012997254
2008_004313,Images/chair_pascal/2008_004313.jpg,chair,196,176,261,288,252.672368079965,5.091716737731241,2.623430126055041
2008_004313,Images/chair_pascal/2008_004313.jpg,chair,252,177,326,303,199.5764596099646,6.064622763084882,-0.41152226923823104
2008_004412,Images/chair_pascal/2008_004412.jpg,chair,121,340,246,499,169.0671239726988,16.686659883309577,-0.6885106352779029
2008_004585,Images/chair_pascal/2008_004585.jpg,chair,1,37,117,232,191.36508377346348,27.278441601192142,9.046946974548094
2008_004661,Images/chair_pascal/2008_004661.jpg,chair,68,165,116,250,146.05543971814126,5.895880123274066,4.827630274954492
2008_004697,Images/chair_pascal/2008_004697.jpg,chair,75,72,213,308,15.917809654615215,12.452790029475818,15.791674783302179
2008_004697,Images/chair_pascal/2008_004697.jpg,chair,232,13,386,331,3.9281569275585053e-08,19.025916263121328,-10.19203900555237
2008_004834,Images/chair_pascal/2008_004834.jpg,chair,124,153,205,272,308.57972174401715,-0.6652845087677177,2.6227958186510816
2008_004964,Images/chair_pascal/2008_004964.jpg,chair,36,237,136,406,21.34797852755518,21.757059401066343,3.66701821229473
2008_005136,Images/chair_pascal/2008_005136.jpg,chair,194,253,306,428,206.84788437665668,24.71636698988779,1.0652937081497025
2008_005248,Images/chair_pascal/2008_005248.jpg,chair,261,167,372,307,22.74654366240519,18.6758450390283,-2.680178390979681
2008_005456,Images/chair_pascal/2008_005456.jpg,chair,42,25,379,499,335.5918173326062,36.331261757050115,-9.71355473511548
2008_005561,Images/chair_pascal/2008_005561.jpg,chair,67,127,317,444,257.1026108837822,47.49999995086323,5.41552062276775
2008_005794,Images/chair_pascal/2008_005794.jpg,chair,67,100,103,146,158.06109856294603,8.148836564003153,0.8983226558070293
2008_006258,Images/chair_pascal/2008_006258.jpg,chair,106,16,441,374,341.857858528276,22.656777256880062,5.847479566033043
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,154,248,198,349,28.509065560804586,24.73441993744118,9.800964435784362
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,197,249,235,350,10.016990960412688,28.181221115821337,4.096438435137161
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,236,249,274,349,7.22091927560954,29.235041790102287,3.616088915424297
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,281,249,318,351,2.4690889559241033e-06,30.62444336127039,0.25597767035610675
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,321,248,359,352,6.972779894515667e-05,29.942940340565382,0.733252938501216
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,360,248,407,352,334.41943122630096,25.65151600478934,-8.619332292759024
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,404,248,449,354,340.64262535717273,22.37590199202696,-4.251537815080603
2008_006300,Images/chair_pascal/2008_006300.jpg,chair,446,246,496,352,332.71716495307356,23.94467276672729,-7.773710101151168
2008_006606,Images/chair_pascal/2008_006606.jpg,chair,221,188,294,313,160.7813141190485,8.373926114828722,-2.0514530375843565
2008_006691,Images/chair_pascal/2008_006691.jpg,chair,324,300,367,364,21.55500320651647,1.0341482473779124,-1.1359876488391776
2008_006712,Images/chair_pascal/2008_006712.jpg,chair,33,293,251,481,137.04143998139077,52.49993692741498,-0.1146999911601846
2008_006719,Images/chair_pascal/2008_006719.jpg,chair,59,192,244,374,264.0193966830485,17.140717185269427,2.820982211474753
2008_007335,Images/chair_pascal/2008_007335.jpg,chair,244,203,342,360,14.58005387235902,17.123025319300936,-2.52601933690374
