image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n03001627_1025,Images/chair_imagenet/n03001627_1025.JPEG,chair,25,227,215,468,5.0146405573632144e-08,9.615427592633813,1.1910153881854226
n03001627_1065,Images/chair_imagenet/n03001627_1065.JPEG,chair,37,30,305,470,143.20661810468405,5.950522700596459,1.5977487723544297
n03001627_10703,Images/chair_imagenet/n03001627_10703.JPEG,chair,190,70,480,347,297.34363907553416,18.052075978109812,-1.8471199453834966
n03001627_1090,Images/chair_imagenet/n03001627_1090.JPEG,chair,30,35,212,350,9.292837685617889e-07,17.402285216615507,-0.4977793023044369
n03001627_11386,Images/chair_imagenet/n03001627_11386.JPEG,chair,42,171,181,459,2.030082043394287,26.436326323199573,-0.5106288326784248
n03001627_1193,Images/chair_imagenet/n03001627_1193.JPEG,chair,105,118,183,173,17.48081579804944,-1.8347473008060626,2.003497603821813
n03001627_1197,Images/chair_imagenet/n03001627_1197.JPEG,chair,27,54,309,464,294.8929328986431,6.916488746246657,3.0268309473379853
n03001627_12243,Images/chair_imagenet/n03001627_12243.JPEG,chair,70,86,322,448,6.508953845536253,25.885563073452076,4.124640582255791
n03001627_12521,Images/chair_imagenet/n03001627_12521.JPEG,chair,27,19,369,495,342.35775747300437,21.076861321517637,8.022954766330185
n03001627_1258,Images/chair_imagenet/n03001627_1258.JPEG,chair,97,70,250,313,25.529932642120826,17.96310521225295,5.11767449806907
n03001627_1258,Images/chair_imagenet/n03001627_1258.JPEG,chair,258,70,401,326,6.854658056526829,19.47431089682213,0.9195369728116478
n03001627_1269,Images/chair_imagenet/n03001627_1269.JPEG,chair,149,34,337,344,5.812636086443631,18.363304697118362,0.715919104483684
n03001627_1286,Images/chair_imagenet/n03001627_1286.JPEG,chair,66,25,343,499,359.9999999989952,18.64448805173076,2.4369048725283777
n03001627_1287,Images/chair_imagenet/n03001627_1287.JPEG,chair,16,77,467,459,141.48563669016946,39.99999999117756,-3.5043621826927245
n03001627_130,Images/chair_imagenet/n03001627_130.JPEG,chair,73,25,400,627,17.69826095262908,33.14136810347542,3.230705670891156
n03001627_13006,Images/chair_imagenet/n03001627_13006.JPEG,chair,98,37,218,214,78.79124429067619,12.455899944844413,-2.049436022429828
n03001627_13006,Images/chair_imagenet/n03001627_13006.JPEG,chair,121,55,273,277,76.62467581248679,14.149304374841511,-2.626368951848563
n03001627_13045,Images/chair_imagenet/n03001627_13045.JPEG,chair,14,8,144,239,38.34712616430837,35.866794875834685,11.981383841215687
n03001627_1377,Images/chair_imagenet/n03001627_1377.JPEG,chair,100,82,311,399,322.55047954733567,12.387268295230497,0.16103877905956657
n03001627_142,Images/chair_imagenet/n03001627_142.JPEG,chair,108,38,294,315,1.2772442990626656,17.45440865516659,0.9723569338655339
n03001627_144,Images/chair_imagenet/n03001627_144.JPEG,chair,50,16,284,480,243.2383576604336,-5.625735823288244,0.33622960109373456
n03001627_14581,Images/chair_imagenet/n03001627_14581.JPEG,chair,7,68,81,187,0.6370348829778664,10.737452383597173,0.20386285004357743
