image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000041,Images/diningtable_pascal/2008_000041.jpg,diningtable,149,224,402,331,343.57828908854464,11.242996322360092,1.083478190898459
2008_000227,Images/diningtable_pascal/2008_000227.jpg,diningtable,1,90,468,374,282.9684939074505,22.13191038239375,-3.222882118035816
2008_000338,Images/diningtable_pascal/2008_000338.jpg,diningtable,130,236,342,374,1.6807501024112406e-07,13.275766346661927,0.11413238243587157
2008_000397,Images/diningtable_pascal/2008_000397.jpg,diningtable,17,284,374,499,296.23321053488684,14.85376846049788,-6.4429264387874134
2008_000493,Images/diningtable_pascal/2008_000493.jpg,diningtable,327,1,462,120,300.1265032039426,7.59692406254971,0.9582245723923145
2008_001083,Images/diningtable_pascal/2008_001083.jpg,diningtable,113,170,303,332,281.2358495661311,15.417214904698126,-4.961376072961691
2008_001230,Images/diningtable_pascal/2008_001230.jpg,diningtable,1,302,499,374,0.0,25.0,0.0
2008_001434,Images/diningtable_pascal/2008_001434.jpg,diningtable,52,215,284,374,70.98254350398992,18.904668389335654,1.5619301987116385
2008_001758,Images/diningtable_pascal/2008_001758.jpg,diningtable,67,266,499,374,5.0,17.5,0.0
2008_001809,Images/diningtable_pascal/2008_001809.jpg,diningtable,99,196,367,374,317.4983678363285,12.634196025819803,2.5297050015147646
2008_002032,Images/diningtable_pascal/2008_002032.jpg,diningtable,32,198,499,374,75.0,7.5,0.0
2008_002079,Images/diningtable_pascal/2008_002079.jpg,diningtable,120,200,403,374,269.6880965431596,26.96755028663111,0.41320987900347145
2008_002362,Images/diningtable_pascal/2008_002362.jpg,diningtable,120,237,499,374,0.0,17.5,0.0
2008_002892,Images/diningtable_pascal/2008_002892.jpg,diningtable,19,225,369,419,273.15224736982367,24.3900400860524,1.1900081276373349
2008_002903,Images/diningtable_pascal/2008_002903.jpg,diningtable,223,242,308,318,281.5388133853497,9.597024590502203,-0.9416453638439214
2008_003224,Images/diningtable_pascal/2008_003224.jpg,diningtable,111,258,456,374,36.51670888769652,23.7991982122942,-8.619717649720132
2008_003224,Images/diningtable_pascal/2008_003224.jpg,diningtable,1,204,187,294,66.04717972957525,21.39251415118357,7.001693387835448
2008_003264,Images/diningtable_pascal/2008_003264.jpg,diningtable,89,212,326,373,52.334614373995066,13.157807986110155,-1.5202770520162185
2008_003534,Images/diningtable_pascal/2008_003534.jpg,diningtable,142,225,499,374,22.6639744199216,30.859934333208148,-7.308627311847853
2008_003774,Images/diningtable_pascal/2008_003774.jpg,diningtable,31,195,225,332,4.2477023248863385e-05,14.266091671058456,2.2375675135824045
