image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_001413,Images/diningtable_pascal/2008_001413.jpg,diningtable,205,146,499,374,290.0,17.5,0.0
2008_001809,Images/diningtable_pascal/2008_001809.jpg,diningtable,99,196,367,374,317.4983678363285,12.634196025819803,2.5297050015147646
2008_004457,Images/diningtable_pascal/2008_004457.jpg,diningtable,167,246,297,365,0.6289662700076445,13.469435793177297,0.3350742604948283
2008_004776,Images/diningtable_pascal/2008_004776.jpg,diningtable,22,240,223,374,2.6532034964824474e-07,15.587620605452306,0.24420604083742237
2008_006482,Images/diningtable_pascal/2008_006482.jpg,diningtable,1,341,201,410,3.9877592746521877,23.332686822119456,0.5815116588865025
2008_007223,Images/diningtable_pascal/2008_007223.jpg,diningtable,1,242,180,374,265.0,0.0,0.0
2008_007388,Images/diningtable_pascal/2008_007388.jpg,diningtable,114,167,184,238,9.133576946294856,56.04849726407705,14.670129100914453
2008_007388,Images/diningtable_pascal/2008_007388.jpg,diningtable,244,244,321,322,13.141684330505372,56.70585094294919,14.516684479713136
2009_001009,Images/diningtable_pascal/2009_001009.jpg,diningtable,375,160,499,263,297.45349167174,11.21897259594961,-2.517430094984878
2009_001319,Images/diningtable_pascal/2009_001319.jpg,diningtable,63,167,328,332,318.61209360445423,3.4032914522902207,0.15132417486435945
2009_001434,Images/diningtable_pascal/2009_001434.jpg,diningtable,402,253,499,351,76.99236446741926,13.230562305964142,-6.1872144569434875
2009_002098,Images/diningtable_pascal/2009_002098.jpg,diningtable,285,202,342,262,79.27460785152509,15.69407107533933,-5.217663437726121
2009_002443,Images/diningtable_pascal/2009_002443.jpg,diningtable,1,23,421,332,1.1468241805219957e-05,88.1611733606544,3.1200664215186946
2009_002613,Images/diningtable_pascal/2009_002613.jpg,diningtable,50,49,440,357,27.484575638030762,20.55185770990998,-7.400558404102152
2009_003520,Images/diningtable_pascal/2009_003520.jpg,diningtable,179,177,364,332,74.81641382921629,12.361294944643355,-1.6469048871679814
2010_001271,Images/diningtable_pascal/2010_001271.jpg,diningtable,194,202,370,354,83.6212349782659,8.52430904424586,0.05353967329871093
2010_001366,Images/diningtable_pascal/2010_001366.jpg,diningtable,138,197,330,331,1.0532398364873448e-07,13.729842256604712,0.30539493088719183
2010_002462,Images/diningtable_pascal/2010_002462.jpg,diningtable,167,234,448,330,92.09381830336672,11.356819005434831,0.8929236947237955
2010_003157,Images/diningtable_pascal/2010_003157.jpg,diningtable,95,142,333,419,83.46092202019615,21.299032438538084,-3.0167385077644124
2010_003822,Images/diningtable_pascal/2010_003822.jpg,diningtable,93,252,262,374,2.0757315878864286,9.79451710327133,5.342808572299672
2010_004937,Images/diningtable_pascal/2010_004937.jpg,diningtable,49,263,137,353,8.344870912890533e-07,9.466910514609902,1.8674020756308933
2010_005094,Images/diningtable_pascal/2010_005094.jpg,diningtable,175,31,439,368,0.3815699994773688,25.993746848482647,-2.589331147838297
2011_000192,Images/diningtable_pascal/2011_000192.jpg,diningtable,245,172,499,374,305.60279489136775,18.730548579105797,-2.437952487959334
2011_000461,Images/diningtable_pascal/2011_000461.jpg,diningtable,1,1,499,374,0.0,20.0,0.0
2011_000573,Images/diningtable_pascal/2011_000573.jpg,diningtable,30,151,447,374,336.10241231397595,16.86053247120517,3.0289915298313383
2011_000692,Images/diningtable_pascal/2011_000692.jpg,diningtable,1,234,330,499,2.0631761438627456,19.389553755351145,3.1539075629050726
2011_000837,Images/diningtable_pascal/2011_000837.jpg,diningtable,1,40,455,374,9.489408881501221,34.25213119106764,5.1682084777342405
2011_001220,Images/diningtable_pascal/2011_001220.jpg,diningtable,60,35,436,331,90.52961856414264,38.58649021763374,0.038338165156940766
2011_002606,Images/diningtable_pascal/2011_002606.jpg,diningtable,14,119,362,420,284.05805935026484,24.255050239421323,0.3850787479569272
2011_002881,Images/diningtable_pascal/2011_002881.jpg,diningtable,73,184,209,227,338.42424388880534,15.46129202227776,2.8020528588562312
2011_002940,Images/diningtable_pascal/2011_002940.jpg,diningtable,107,198,386,374,90.94879876107464,23.983814248807985,1.512634236956224
