image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n03790512_10015,Images/motorbike_imagenet/n03790512_10015.JPEG,motorbike,18,98,413,311,267.1882227497465,4.823741981436381,1.4301728657819932
n03790512_10156,Images/motorbike_imagenet/n03790512_10156.JPEG,motorbike,73,59,441,325,241.30629553694044,17.49999989648851,-12.762496190634065
n03790512_10200,Images/motorbike_imagenet/n03790512_10200.JPEG,motorbike,0,0,252,133,282.499999736506,-16.51758772396259,2.64356071524987
n03790512_10200,Images/motorbike_imagenet/n03790512_10200.JPEG,motorbike,27,38,483,244,253.44655826307178,-22.49999878407778,8.613293564741666
n03790512_10253,Images/motorbike_imagenet/n03790512_10253.JPEG,motorbike,0,67,499,415,82.17519407155888,20.294715101785272,-1.2887113507455141
n03790512_10269,Images/motorbike_imagenet/n03790512_10269.JPEG,motorbike,48,23,449,337,129.61062817382916,15.894762959636886,3.5349007754645188
n03790512_10367,Images/motorbike_imagenet/n03790512_10367.JPEG,motorbike,52,97,595,442,57.500000051859786,33.56686431813393,-5.343252740183068
n03790512_10417,Images/motorbike_imagenet/n03790512_10417.JPEG,motorbike,59,20,449,375,35.749199301269414,9.964438183484509,-7.959474927775743
n03790512_10418,Images/motorbike_imagenet/n03790512_10418.JPEG,motorbike,47,47,437,297,273.0341625368278,37.09876681383376,5.356085756759457
n03790512_1044,Images/motorbike_imagenet/n03790512_1044.JPEG,motorbike,76,106,461,305,87.4999999852476,-4.999999886447812,6.7454539776925415
n03790512_10451,Images/motorbike_imagenet/n03790512_10451.JPEG,motorbike,5,23,491,290,80.89390220345983,21.902866007205198,-11.524044857449653
n03790512_10661,Images/motorbike_imagenet/n03790512_10661.JPEG,motorbike,167,12,451,323,143.7642212717143,6.197092983872317,5.765359388559264
n03790512_10699,Images/motorbike_imagenet/n03790512_10699.JPEG,motorbike,49,39,579,384,70.93870687456531,19.980212118791915,-3.0088657683085893
n03790512_10802,Images/motorbike_imagenet/n03790512_10802.JPEG,motorbike,107,53,454,273,324.14896564690207,-17.499999919145655,-36.41307085490254
n03790512_10858,Images/motorbike_imagenet/n03790512_10858.JPEG,motorbike,8,43,286,180,261.9524510323532,-1.7485815189034046,-0.2095355903273936
n03790512_10899,Images/motorbike_imagenet/n03790512_10899.JPEG,motorbike,17,10,313,366,331.4929425450507,-3.4552757435315398,-12.662504739203017
n03790512_10965,Images/motorbike_imagenet/n03790512_10965.JPEG,motorbike,78,98,449,477,305.47816562145243,-24.950001164816772,29.409547390238238
n03790512_10970,Images/motorbike_imagenet/n03790512_10970.JPEG,motorbike,123,41,337,223,29.398295902796107,7.690610660990769,-22.033442963142324
n03790512_11006,Images/motorbike_imagenet/n03790512_11006.JPEG,motorbike,37,80,442,361,87.49999959926971,-14.335829664432161,-5.908446516261177
n03790512_11024,Images/motorbike_imagenet/n03790512_11024.JPEG,motorbike,50,43,338,280,222.19401800122398,-2.641090324394935,4.335326295592234
n03790512_11192,Images/motorbike_imagenet/n03790512_11192.JPEG,motorbike,0,0,1,1,319.76769602836583,2.1507767247486704,4.797204965622071
n03790512_11271,Images/motorbike_imagenet/n03790512_11271.JPEG,motorbike,165,19,690,565,148.99068187713027,13.275367532836567,15.508691292634763
n03790512_11313,Images/motorbike_imagenet/n03790512_11313.JPEG,motorbike,64,55,522,385,39.13211574479417,6.781936555990559,-1.565654752049988
n03790512_11319,Images/motorbike_imagenet/n03790512_11319.JPEG,motorbike,7,49,246,202,279.7467707613182,21.068348120905757,5.354568545789017
n03790512_11358,Images/motorbike_imagenet/n03790512_11358.JPEG,motorbike,2,113,466,384,95.7792807108721,14.798659290354903,5.242894925141276
n03790512_11370,Images/motorbike_imagenet/n03790512_11370.JPEG,motorbike,29,96,175,299,332.3226251214769,16.94171858225563,-3.084013843516382
n03790512_114,Images/motorbike_imagenet/n03790512_114.JPEG,motorbike,23,23,524,385,126.40469528176929,3.659168319529981,8.935153077105944
n03790512_1140,Images/motorbike_imagenet/n03790512_1140.JPEG,motorbike,13,14,582,477,317.05815202095107,1.379750132508931,-1.6310564078039176
n03790512_11427,Images/motorbike_imagenet/n03790512_11427.JPEG,motorbike,47,102,469,407,329.0513669586201,-8.79522993998367,-24.499646305705287
n03790512_11455,Images/motorbike_imagenet/n03790512_11455.JPEG,motorbike,55,26,453,329,42.14873054228132,6.018111068832547,-1.1038012015440106
n03790512_11506,Images/motorbike_imagenet/n03790512_11506.JPEG,motorbike,7,80,497,373,71.49798491667677,-3.643492969214857,-6.415334838311112
n03790512_11525,Images/motorbike_imagenet/n03790512_11525.JPEG,motorbike,28,40,469,334,68.78546995869377,0.38487601641859465,1.7451672259159774
n03790512_11526,Images/motorbike_imagenet/n03790512_11526.JPEG,motorbike,27,139,347,377,282.5000001563502,14.028352103622968,3.725458487331779
n03790512_11628,Images/motorbike_imagenet/n03790512_11628.JPEG,motorbike,18,0,471,316,131.6564645632229,27.505460369585993,15.388599266008093
n03790512_11795,Images/motorbike_imagenet/n03790512_11795.JPEG,motorbike,42,11,217,159,44.71900626355236,11.81342913493182,-9.831918700732054
n03790512_11832,Images/motorbike_imagenet/n03790512_11832.JPEG,motorbike,118,76,396,260,232.5000000876135,-6.813685655234007,5.8874815704575365
n03790512_11875,Images/motorbike_imagenet/n03790512_11875.JPEG,motorbike,2,10,258,491,200.38271227767027,17.639944048482853,11.25029209948223
n03790512_11888,Images/motorbike_imagenet/n03790512_11888.JPEG,motorbike,14,58,374,448,32.029909980187334,-1.7583570977788536,-5.516228801098421
