image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000109,Images/motorbike_pascal/2008_000109.jpg,motorbike,293,70,420,197,57.50000031765394,11.450018006360134,-8.452141775338466
2008_000143,Images/motorbike_pascal/2008_000143.jpg,motorbike,129,80,236,249,213.75095636627282,34.132486981261934,20.495533448033694
2008_000144,Images/motorbike_pascal/2008_000144.jpg,motorbike,147,113,359,287,262.08010812330383,0.15326459235193576,37.34565623534901
2008_000237,Images/motorbike_pascal/2008_000237.jpg,motorbike,1,137,32,172,286.0273387382397,17.647587182799082,7.727457769594694
2008_000315,Images/motorbike_pascal/2008_000315.jpg,motorbike,285,199,306,212,137.49998801310767,27.499996459221144,16.443746817115986
2008_000393,Images/motorbike_pascal/2008_000393.jpg,motorbike,196,178,355,307,238.18542342809474,3.239067485793521,0.07632818566931836
2008_000393,Images/motorbike_pascal/2008_000393.jpg,motorbike,274,163,380,293,224.637296602007,8.999698524907181,-0.6729454402007471
2008_000545,Images/motorbike_pascal/2008_000545.jpg,motorbike,252,170,364,243,62.16292174935565,-1.548953336543669,-6.3398791006131905
2008_000563,Images/motorbike_pascal/2008_000563.jpg,motorbike,1,240,197,492,28.555946842612954,13.107245238257773,5.407181806063119
2008_000583,Images/motorbike_pascal/2008_000583.jpg,motorbike,418,126,454,146,97.75958159432695,16.681682153885134,7.330468139454605
2008_000689,Images/motorbike_pascal/2008_000689.jpg,motorbike,29,145,419,329,269.65069153919495,-3.0238553741546963,-1.82974525789159
2008_000854,Images/motorbike_pascal/2008_000854.jpg,motorbike,76,56,182,143,214.97746760292637,5.496412819896404,-7.838276706060795
2008_000981,Images/motorbike_pascal/2008_000981.jpg,motorbike,195,50,471,327,325.842038402204,11.040139674748477,3.2177534508254038
2008_001119,Images/motorbike_pascal/2008_001119.jpg,motorbike,88,170,394,374,0.0,10.0,0.0
2008_001158,Images/motorbike_pascal/2008_001158.jpg,motorbike,280,201,397,297,92.3110760745761,0.15239067427322922,-40.38864199247913
2008_001158,Images/motorbike_pascal/2008_001158.jpg,motorbike,108,230,189,271,247.5000454119503,1.1040218492329095,4.736603213888012
2008_001203,Images/motorbike_pascal/2008_001203.jpg,motorbike,432,272,462,324,10.971495963123603,-2.230004327333935,1.4615793400202934
2008_001525,Images/motorbike_pascal/2008_001525.jpg,motorbike,162,218,270,374,359.99999986317556,5.636776405958259,-14.565447109102111
2008_001525,Images/motorbike_pascal/2008_001525.jpg,motorbike,269,238,499,374,340.0,0.0,0.0
2008_001525,Images/motorbike_pascal/2008_001525.jpg,motorbike,355,233,499,374,313.9080804741296,21.208132704651575,0.23865915015206268
2008_001631,Images/motorbike_pascal/2008_001631.jpg,motorbike,12,85,310,354,34.41595101738809,4.562159133571815,-0.4516885959410067
2008_001643,Images/motorbike_pascal/2008_001643.jpg,motorbike,1,126,499,332,250.96348274322762,15.554993667223217,-10.674467301959547
