image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta,qw,qx,qy,qz
n03790512_10015,Images/motorbike_imagenet/n03790512_10015.JPEG,motorbike,18,98,413,311,267.1882227497465,4.823741981436381,1.4301728657819932,0.7239069470800674,-0.019984880595961516,-0.03907378482719304,-0.6885002366419781
n03790512_10156,Images/motorbike_imagenet/n03790512_10156.JPEG,motorbike,73,59,441,325,241.30629553694044,17.49999989648851,-12.762496190634064,0.8363691922843536,-0.17157872439336547,-0.07405034321753243,-0.5153288874132022
n03790512_10200,Images/motorbike_imagenet/n03790512_10200.JPEG,motorbike,0,0,252,133,282.499999736506,-16.51758772396259,2.64356071524987,0.616683270247492,0.12628499306887428,0.07208322960182531,-0.7736652071358925
n03790512_10200,Images/motorbike_imagenet/n03790512_10200.JPEG,motorbike,27,38,483,244,253.44655826307172,-22.49999878407778,8.613293564741666,0.775151745798971,0.17535911948572683,0.11188977965774877,-0.5965480931208635
n03790512_10253,Images/motorbike_imagenet/n03790512_10253.JPEG,motorbike,0,67,499,415,82.17519407155888,20.294715101785272,-1.288711350745514,0.6483843351926188,0.12550444669892383,-0.12412407901776948,0.7405670805157445
n03790512_10269,Images/motorbike_imagenet/n03790512_10269.JPEG,motorbike,48,23,449,337,129.61062817382916,15.894762959636886,3.5349007754645188,0.8939339942051077,0.08647086834756398,-0.112047004843285,0.4252649428736977
n03790512_10367,Images/motorbike_imagenet/n03790512_10367.JPEG,motorbike,52,97,595,442,57.500000051859786,33.56686431813393,-5.343252740183068,0.4717997822190182,0.23141930784665993,-0.1778619713771137,0.8319947046656647
n03790512_10417,Images/motorbike_imagenet/n03790512_10417.JPEG,motorbike,59,20,449,375,35.749199301269414,9.964438183484509,-7.959474927775743,0.3107742364696393,0.06123332675362626,-0.09239599127476061,0.9439983233235908
n03790512_10418,Images/motorbike_imagenet/n03790512_10418.JPEG,motorbike,47,47,437,297,273.0341625368278,37.09876681383376,5.356085756759457,0.6624617596080468,-0.20008864296201234,-0.25081330199622676,-0.6769059310985395
n03790512_1044,Images/motorbike_imagenet/n03790512_1044.JPEG,motorbike,76,106,461,305,87.4999999852476,-4.999999886447812,6.7454539776925415,0.6915120063693487,0.009189325408568386,0.07256822166002791,0.718651900818939
n03790512_10451,Images/motorbike_imagenet/n03790512_10451.JPEG,motorbike,5,23,491,290,80.89390220345983,21.9028660072052,-11.524044857449653,0.648225817029764,0.07989756494328572,-0.19763486913575484,0.7309994033882118
n03790512_10661,Images/motorbike_imagenet/n03790512_10661.JPEG,motorbike,167,12,451,323,143.7642212717143,6.197092983872317,5.765359388559264,0.9469829636579195,0.06451556862144153,-0.035692133243838194,0.3127092572528351
n03790512_10699,Images/motorbike_imagenet/n03790512_10699.JPEG,motorbike,49,39,579,384,70.93870687456531,19.980212118791915,-3.0088657683085893,0.5749815936113312,0.12623286972416337,-0.12168697365215234,0.799158125812881
n03790512_10802,Images/motorbike_imagenet/n03790512_10802.JPEG,motorbike,107,53,454,273,324.14896564690207,-17.499999919145655,-36.41307085490254,0.3341917373151897,0.042448066113571103,0.3382932127652124,-0.8786761329354882
n03790512_10858,Images/motorbike_imagenet/n03790512_10858.JPEG,motorbike,8,43,286,180,261.9524510323532,-1.7485815189034046,-0.2095355903273936,0.7549108812937214,0.008625430712265767,0.012718909743403213,-0.655647308073711
n03790512_10899,Images/motorbike_imagenet/n03790512_10899.JPEG,motorbike,17,10,313,366,331.4929425450507,-3.45527574353154,-12.662504739203015,0.24782239482849056,0.001902934520178052,0.11421074918222368,-0.9620479947658115
