image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000144,Images/motorbike_pascal/2008_000144.jpg,motorbike,147,113,359,287,262.08010812330383,0.15326459235193576,37.34565623534901
2008_000563,Images/motorbike_pascal/2008_000563.jpg,motorbike,1,240,197,492,28.555946842612954,13.107245238257773,5.407181806063119
2008_000583,Images/motorbike_pascal/2008_000583.jpg,motorbike,418,126,454,146,97.75958159432695,16.681682153885134,7.330468139454605
2008_000689,Images/motorbike_pascal/2008_000689.jpg,motorbike,29,145,419,329,269.65069153919495,-3.0238553741546963,-1.82974525789159
2008_001691,Images/motorbike_pascal/2008_001691.jpg,motorbike,89,32,431,360,340.0725764573955,0.33011654318945577,1.1150121364644336
2008_002202,Images/motorbike_pascal/2008_002202.jpg,motorbike,8,137,288,456,196.83427335972704,10.015552508142457,-4.967157095892584
2008_002772,Images/motorbike_pascal/2008_002772.jpg,motorbike,76,248,370,434,105.58414613241658,-15.917450780298894,-1.7020808296497263
2008_002955,Images/motorbike_pascal/2008_002955.jpg,motorbike,25,94,264,306,213.1318238385933,5.010086591603812,-2.5633310481255354
2008_003151,Images/motorbike_pascal/2008_003151.jpg,motorbike,143,216,318,320,67.81439587858344,4.927639905076901,-0.13112408720719496
2008_003269,Images/motorbike_pascal/2008_003269.jpg,motorbike,9,1,471,275,244.66460327019746,-10.808997654995531,1.137375693263635
2008_003637,Images/motorbike_pascal/2008_003637.jpg,motorbike,155,131,498,347,230.3134268217344,11.257611309412864,-6.801634296331486
2008_004568,Images/motorbike_pascal/2008_004568.jpg,motorbike,159,117,449,280,274.4452842206983,11.84612410546836,-2.7802913111096412
2008_004786,Images/motorbike_pascal/2008_004786.jpg,motorbike,37,10,385,370,125.0803628612644,24.16981115828711,2.4982420000661705
2008_004822,Images/motorbike_pascal/2008_004822.jpg,motorbike,93,98,432,300,102.63010464233281,13.682797957341588,5.292229371903539
2008_004838,Images/motorbike_pascal/2008_004838.jpg,motorbike,131,1,341,374,347.0644979267861,23.625559582617235,3.5844315843118704
2008_005000,Images/motorbike_pascal/2008_005000.jpg,motorbike,61,150,170,279,0.7735402085547982,-5.399601953361542,-30.980154349207254
2008_005172,Images/motorbike_pascal/2008_005172.jpg,motorbike,20,111,175,237,9.416968505766195e-08,2.6500882199202938,-49.567628634442855
2008_005297,Images/motorbike_pascal/2008_005297.jpg,motorbike,53,61,451,307,243.99689711722306,5.881827524678615,6.778184294939283
2008_005433,Images/motorbike_pascal/2008_005433.jpg,motorbike,237,189,274,209,37.52411323452876,19.6187812966688,-20.57184399130638
2008_005603,Images/motorbike_pascal/2008_005603.jpg,motorbike,10,34,451,241,295.45515043547283,16.232663231369703,0.8701273451382858
2008_005902,Images/motorbike_pascal/2008_005902.jpg,motorbike,80,115,237,445,5.9589702022288564e-08,-11.182649747432126,4.114590548849971
2008_006345,Images/motorbike_pascal/2008_006345.jpg,motorbike,203,216,402,425,34.022961752591364,6.758635621271695,1.3002506312211455
2008_006889,Images/motorbike_pascal/2008_006889.jpg,motorbike,64,46,495,349,262.9691278031773,20.870484371923155,-9.897129117164624
