image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000093,Images/sofa_pascal/2008_000093.jpg,sofa,143,163,320,247,3.710064604423123e-07,1.9874853568288706,-1.3145874921687977
2008_000093,Images/sofa_pascal/2008_000093.jpg,sofa,1,173,145,317,299.84117474868873,18.698315633785555,11.023799922767584
2008_000128,Images/sofa_pascal/2008_000128.jpg,sofa,11,29,499,374,62.42934471344271,22.177249788841813,-11.26163413480064
2008_000421,Images/sofa_pascal/2008_000421.jpg,sofa,1,141,446,374,325.0,5.0,0.0
2008_000493,Images/sofa_pascal/2008_000493.jpg,sofa,1,65,499,374,309.82293056786773,20.990427505186958,3.585652792719018
2008_000636,Images/sofa_pascal/2008_000636.jpg,sofa,1,136,319,425,3.8446322016609504e-08,15.187138934081815,-0.3835853063173806
2008_000648,Images/sofa_pascal/2008_000648.jpg,sofa,55,49,499,330,15.314087010000557,1.3946874164380294,-0.23413118193817722
2008_000704,Images/sofa_pascal/2008_000704.jpg,sofa,136,173,397,336,57.409141832996625,9.534655911793019,-10.002618155409658
2008_000704,Images/sofa_pascal/2008_000704.jpg,sofa,6,153,169,261,57.75084729025151,-1.607490337410847,-10.838531593874594
2008_000775,Images/sofa_pascal/2008_000775.jpg,sofa,1,1,499,374,15.0,20.0,0.0
2008_001030,Images/sofa_pascal/2008_001030.jpg,sofa,36,205,406,374,9.509275277214682,-4.6327010624937,-1.7315910427780579
2008_001133,Images/sofa_pascal/2008_001133.jpg,sofa,1,184,388,347,2.723304072590009,37.49999972331229,-2.046241139234251
2008_001133,Images/sofa_pascal/2008_001133.jpg,sofa,1,265,317,374,126.0950167259824,15.578414091945719,2.2139971762993045
2008_001238,Images/sofa_pascal/2008_001238.jpg,sofa,1,92,499,374,1.0208646957414486e-07,-5.250007689333186,-1.1988684123201672
2008_001390,Images/sofa_pascal/2008_001390.jpg,sofa,1,68,499,374,334.10980318709693,15.780903421745762,-2.967715196987219
2008_001399,Images/sofa_pascal/2008_001399.jpg,sofa,1,153,315,374,342.6323807649488,5.976152817900531,10.831901404548956
2008_001461,Images/sofa_pascal/2008_001461.jpg,sofa,1,91,189,288,311.6046467252593,7.375584180328154,0.08081252793602135
2008_001550,Images/sofa_pascal/2008_001550.jpg,sofa,1,2,290,365,263.4354917253425,79.10247841778279,-8.258127115119327
2008_001694,Images/sofa_pascal/2008_001694.jpg,sofa,115,162,408,270,3.88229531613052e-07,-9.195035513117165,-0.16830682634671681
2008_001781,Images/sofa_pascal/2008_001781.jpg,sofa,1,202,123,311,285.1422232187246,14.989651755711225,14.355238942280312
2008_001787,Images/sofa_pascal/2008_001787.jpg,sofa,11,269,499,374,37.527352725992614,18.77297514356954,-1.0898638502607796
2008_001809,Images/sofa_pascal/2008_001809.jpg,sofa,1,279,142,374,50.0,15.0,0.0
2008_001896,Images/sofa_pascal/2008_001896.jpg,sofa,1,174,207,332,329.6916872201873,17.44007417470136,12.491224346293754
2008_002119,Images/sofa_pascal/2008_002119.jpg,sofa,81,125,434,343,337.92560767383094,2.9317988053265296,12.481666763659296
2008_002329,Images/sofa_pascal/2008_002329.jpg,sofa,1,43,312,374,20.0,22.5,0.0
2008_002362,Images/sofa_pascal/2008_002362.jpg,sofa,389,179,499,253,10.0,0.0,0.0
2008_002434,Images/sofa_pascal/2008_002434.jpg,sofa,34,68,488,332,13.62145509339128,7.853365612728937,-6.150290426516536
2008_002533,Images/sofa_pascal/2008_002533.jpg,sofa,18,15,499,286,10.90324826527782,-3.2465392215247664,2.9949240869815523
2008_002649,Images/sofa_pascal/2008_002649.jpg,sofa,1,144,101,389,1.6609272851781822,4.005073505691037,2.991739059866668
2008_002776,Images/sofa_pascal/2008_002776.jpg,sofa,325,198,499,332,100.0,10.0,0.0
2008_002873,Images/sofa_pascal/2008_002873.jpg,sofa,1,1,499,370,300.0,7.5,0.0
2008_002903,Images/sofa_pascal/2008_002903.jpg,sofa,1,270,70,360,313.1564023077031,5.297337427717226,2.115203262322083
2008_002916,Images/sofa_pascal/2008_002916.jpg,sofa,4,53,433,374,305.4155941091921,25.56946443634069,-2.981228551539388
2008_002922,Images/sofa_pascal/2008_002922.jpg,sofa,1,42,499,332,22.499999680206443,29.289277622812925,10.91581117422602
