image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n03693474_10357,Images/sofa_imagenet/n03693474_10357.JPEG,sofa,11,21,494,361,334.6461725266086,15.694421108868116,5.07975969852403
n03693474_1036,Images/sofa_imagenet/n03693474_1036.JPEG,sofa,8,183,1113,947,7.8325852297782586,12.504061111160196,-6.594047836228031
n03693474_1051,Images/sofa_imagenet/n03693474_1051.JPEG,sofa,372,205,730,428,340.8284862799685,5.524765550798603,0.5694837492753606
n03693474_10544,Images/sofa_imagenet/n03693474_10544.JPEG,sofa,13,207,2039,1441,15.866264083179388,-0.6926384474561507,-5.637901489200097
n03693474_10555,Images/sofa_imagenet/n03693474_10555.JPEG,sofa,5,6,372,268,342.56112256464803,10.119552617110767,6.384704034288835
n03693474_10590,Images/sofa_imagenet/n03693474_10590.JPEG,sofa,118,124,420,279,348.60207458515583,-7.191778409653731,7.999654578999249
n03693474_1062,Images/sofa_imagenet/n03693474_1062.JPEG,sofa,28,136,181,259,290.2207445256584,10.234189610105519,8.409113711860181
n03693474_1062,Images/sofa_imagenet/n03693474_1062.JPEG,sofa,185,112,357,197,5.634672400909522e-07,7.696508594909609,4.098977093706287
n03693474_1062,Images/sofa_imagenet/n03693474_1062.JPEG,sofa,375,122,525,227,70.91835425981608,5.264059656722998,-4.5743928644680985
n03693474_10631,Images/sofa_imagenet/n03693474_10631.JPEG,sofa,25,119,343,310,329.7116500964966,4.343167654778689,2.438605896712167
n03693474_1071,Images/sofa_imagenet/n03693474_1071.JPEG,sofa,14,82,586,586,285.1906339448975,6.7650728208981885,3.6621280126210123
n03693474_10821,Images/sofa_imagenet/n03693474_10821.JPEG,sofa,10,30,467,350,322.7374131580806,21.57319835550969,-0.8733426500808058
n03693474_10975,Images/sofa_imagenet/n03693474_10975.JPEG,sofa,3,105,269,244,2.9979710687509833,18.179869311806094,5.751257690270301
n03693474_10975,Images/sofa_imagenet/n03693474_10975.JPEG,sofa,280,126,496,353,78.75184355280071,16.001064412766915,3.6018054119491136
n03693474_11077,Images/sofa_imagenet/n03693474_11077.JPEG,sofa,13,14,437,330,331.0610499586655,8.001414636862782,5.041679303972607
n03693474_11121,Images/sofa_imagenet/n03693474_11121.JPEG,sofa,7,30,257,248,52.84109646399603,18.015910903973687,11.463116794716711
n03693474_11121,Images/sofa_imagenet/n03693474_11121.JPEG,sofa,255,52,497,326,52.09972901977512,19.5177396140324,2.0009634156812415
n03693474_11184,Images/sofa_imagenet/n03693474_11184.JPEG,sofa,46,81,463,331,27.02479056921648,18.50430648970665,-2.956804458987984
n03693474_11199,Images/sofa_imagenet/n03693474_11199.JPEG,sofa,4,18,498,277,0.2925361430879917,4.383227708630972,-3.4649588703847827
n03693474_11327,Images/sofa_imagenet/n03693474_11327.JPEG,sofa,34,172,378,374,27.322198453722667,11.627128457983277,1.6138067455233183
n03693474_11370,Images/sofa_imagenet/n03693474_11370.JPEG,sofa,8,20,290,270,65.73819054288197,9.369921399116972,0.729932343762302
n03693474_1189,Images/sofa_imagenet/n03693474_1189.JPEG,sofa,48,40,437,310,6.002849282750884,12.654188247596478,-8.654881229920404
n03693474_1190,Images/sofa_imagenet/n03693474_1190.JPEG,sofa,184,176,431,332,2.5153516088462338,29.58954082768827,2.7129446352828137
n03693474_12079,Images/sofa_imagenet/n03693474_12079.JPEG,sofa,25,37,1587,1070,8.283030825015706e-09,11.111273305108533,-0.13932914500554158
n03693474_12095,Images/sofa_imagenet/n03693474_12095.JPEG,sofa,17,49,554,382,339.0546773666435,4.522590811367903,3.432902093322433
n03693474_12250,Images/sofa_imagenet/n03693474_12250.JPEG,sofa,23,4,498,344,243.03107135416346,15.864135545403762,2.791262082364704
n03693474_12368,Images/sofa_imagenet/n03693474_12368.JPEG,sofa,4,76,499,329,2.01864491561495e-08,7.500000013614269,2.9412068062383137
n03693474_12732,Images/sofa_imagenet/n03693474_12732.JPEG,sofa,46,172,600,451,9.57968444572712,-6.604210218955927,-4.016213547826849
n03693474_12857,Images/sofa_imagenet/n03693474_12857.JPEG,sofa,67,134,482,369,13.884905405255104,-8.718575071091538,1.4023256608235932
