image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n03693474_1000,Images/sofa_imagenet/n03693474_1000.JPEG,sofa,29,62,499,373,352.37146507550165,13.97104045124004,3.9769689874983483
n03693474_10092,Images/sofa_imagenet/n03693474_10092.JPEG,sofa,78,111,364,271,2.3563354523890484e-08,-0.0688783286026819,4.048792931821334
n03693474_1010,Images/sofa_imagenet/n03693474_1010.JPEG,sofa,11,71,638,461,352.4809977295957,-6.622809986140562,9.358125760684567
n03693474_10107,Images/sofa_imagenet/n03693474_10107.JPEG,sofa,70,136,348,288,27.745638116313327,7.064727074142211,-5.3467799269778995
n03693474_10128,Images/sofa_imagenet/n03693474_10128.JPEG,sofa,59,51,461,338,2.264860389551639,15.937142518563126,-0.5508877165809829
n03693474_10240,Images/sofa_imagenet/n03693474_10240.JPEG,sofa,20,12,479,327,339.53585636637706,23.513551911484154,9.37894190712008
n03693474_10258,Images/sofa_imagenet/n03693474_10258.JPEG,sofa,5,85,227,249,320.150535512123,22.710561506429023,-6.39544880419257
n03693474_10258,Images/sofa_imagenet/n03693474_10258.JPEG,sofa,242,75,498,296,52.4733264511579,19.34394754044868,2.8573079167650337
n03693474_10357,Images/sofa_imagenet/n03693474_10357.JPEG,sofa,11,21,494,361,334.6461725266086,15.694421108868116,5.07975969852403
n03693474_1036,Images/sofa_imagenet/n03693474_1036.JPEG,sofa,8,183,1113,947,7.8325852297782586,12.504061111160196,-6.594047836228031
n03693474_10364,Images/sofa_imagenet/n03693474_10364.JPEG,sofa,8,34,493,375,312.3329816327598,25.72616612401123,-3.800969983558656
n03693474_10494,Images/sofa_imagenet/n03693474_10494.JPEG,sofa,40,48,378,287,30.335775349037945,44.99999999683934,-5.028173347568645
n03693474_1051,Images/sofa_imagenet/n03693474_1051.JPEG,sofa,372,205,730,428,340.8284862799685,5.524765550798603,0.5694837492753606
n03693474_10532,Images/sofa_imagenet/n03693474_10532.JPEG,sofa,27,72,496,336,0.1598058779491676,11.617160828209478,-1.3605066381899438
n03693474_10544,Images/sofa_imagenet/n03693474_10544.JPEG,sofa,13,207,2039,1441,15.866264083179388,-0.6926384474561507,-5.637901489200097
n03693474_10555,Images/sofa_imagenet/n03693474_10555.JPEG,sofa,5,6,372,268,342.56112256464803,10.119552617110767,6.384704034288835
n03693474_10590,Images/sofa_imagenet/n03693474_10590.JPEG,sofa,118,124,420,279,348.60207458515583,-7.191778409653731,7.999654578999249
n03693474_1062,Images/sofa_imagenet/n03693474_1062.JPEG,sofa,28,136,181,259,290.2207445256584,10.234189610105519,8.409113711860181
n03693474_1062,Images/sofa_imagenet/n03693474_1062.JPEG,sofa,185,112,357,197,5.634672400909522e-07,7.696508594909609,4.098977093706287
n03693474_1062,Images/sofa_imagenet/n03693474_1062.JPEG,sofa,375,122,525,227,70.91835425981608,5.264059656722998,-4.5743928644680985
n03693474_10631,Images/sofa_imagenet/n03693474_10631.JPEG,sofa,25,119,343,310,329.7116500964966,4.343167654778689,2.438605896712167
n03693474_1071,Images/sofa_imagenet/n03693474_1071.JPEG,sofa,14,82,586,586,285.1906339448975,6.7650728208981885,3.6621280126210123
n03693474_10820,Images/sofa_imagenet/n03693474_10820.JPEG,sofa,153,119,360,276,325.3531557261276,11.984872221761437,8.424853988487063
n03693474_10821,Images/sofa_imagenet/n03693474_10821.JPEG,sofa,10,30,467,350,322.7374131580806,21.57319835550969,-0.8733426500808058
n03693474_10975,Images/sofa_imagenet/n03693474_10975.JPEG,sofa,3,105,269,244,2.9979710687509833,18.179869311806094,5.751257690270301
n03693474_10975,Images/sofa_imagenet/n03693474_10975.JPEG,sofa,280,126,496,353,78.75184355280071,16.001064412766915,3.6018054119491136
n03693474_11050,Images/sofa_imagenet/n03693474_11050.JPEG,sofa,22,82,466,374,314.3706523024108,12.430267675664199,2.3205989367265345
n03693474_11071,Images/sofa_imagenet/n03693474_11071.JPEG,sofa,28,40,474,335,31.65118959390828,3.4855681178818267,-5.559256897365156
n03693474_11077,Images/sofa_imagenet/n03693474_11077.JPEG,sofa,13,14,437,330,331.0610499586655,8.001414636862782,5.041679303972607
n03693474_11121,Images/sofa_imagenet/n03693474_11121.JPEG,sofa,7,30,257,248,52.84109646399603,18.015910903973687,11.463116794716711
n03693474_11121,Images/sofa_imagenet/n03693474_11121.JPEG,sofa,255,52,497,326,52.09972901977512,19.5177396140324,2.0009634156812415
n03693474_11184,Images/sofa_imagenet/n03693474_11184.JPEG,sofa,46,81,463,331,27.02479056921648,18.50430648970665,-2.956804458987984
n03693474_11199,Images/sofa_imagenet/n03693474_11199.JPEG,sofa,4,18,498,277,0.2925361430879917,4.383227708630972,-3.4649588703847827
n03693474_11327,Images/sofa_imagenet/n03693474_11327.JPEG,sofa,34,172,378,374,27.322198453722667,11.627128457983277,1.6138067455233183
n03693474_11342,Images/sofa_imagenet/n03693474_11342.JPEG,sofa,49,111,465,371,1.1235866761623274,11.102283150871624,-1.8293838512878573
n03693474_11355,Images/sofa_imagenet/n03693474_11355.JPEG,sofa,0,30,497,373,4.6297042161548355e-08,20.553197683143146,-0.8219758983312124
n03693474_1137,Images/sofa_imagenet/n03693474_1137.JPEG,sofa,16,92,351,376,36.64913125767583,19.485707214897477,0.7590992690694103
n03693474_11370,Images/sofa_imagenet/n03693474_11370.JPEG,sofa,8,20,290,270,65.73819054288197,9.369921399116972,0.729932343762302
n03693474_11439,Images/sofa_imagenet/n03693474_11439.JPEG,sofa,16,64,423,286,9.8350798361645e-08,6.64695160962325,0.1296342576918562
n03693474_11463,Images/sofa_imagenet/n03693474_11463.JPEG,sofa,2,114,299,263,327.3878225062445,8.617356636914383,0.8828585502975345
n03693474_11463,Images/sofa_imagenet/n03693474_11463.JPEG,sofa,314,115,548,262,54.33367168784212,9.552768464472543,1.756458040635677
n03693474_1153,Images/sofa_imagenet/n03693474_1153.JPEG,sofa,5,72,269,223,317.28566041352644,7.342498827998538,3.1759985676447346
n03693474_1153,Images/sofa_imagenet/n03693474_1153.JPEG,sofa,288,76,499,206,43.226053217067225,9.953812787960068,1.4315272292883978
n03693474_11585,Images/sofa_imagenet/n03693474_11585.JPEG,sofa,11,111,214,238,47.49999997915182,10.766134731058472,-3.2303972163015366
n03693474_11634,Images/sofa_imagenet/n03693474_11634.JPEG,sofa,43,69,483,354,7.351896986016054,-0.22398452420082735,-7.112526140729863
n03693474_1181,Images/sofa_imagenet/n03693474_1181.JPEG,sofa,20,107,480,415,16.47590672993748,8.93872301243393,-9.591052651729193
n03693474_11813,Images/sofa_imagenet/n03693474_11813.JPEG,sofa,9,142,277,286,334.19927537270985,9.405911744494402,3.2630687691946814
n03693474_11813,Images/sofa_imagenet/n03693474_11813.JPEG,sofa,287,146,493,286,58.616112444685356,9.485327790107673,2.186476105324173
n03693474_11847,Images/sofa_imagenet/n03693474_11847.JPEG,sofa,4,51,497,370,345.170008966975,13.99753773332023,-5.0249788473411305
n03693474_11878,Images/sofa_imagenet/n03693474_11878.JPEG,sofa,58,129,494,498,277.4599812063131,29.343965681933973,9.140153283724208
n03693474_11878,Images/sofa_imagenet/n03693474_11878.JPEG,sofa,206,13,408,210,272.6713042608354,23.473222723794162,0.6157850277924883
n03693474_1189,Images/sofa_imagenet/n03693474_1189.JPEG,sofa,48,40,437,310,6.002849282750884,12.654188247596478,-8.654881229920404
n03693474_1190,Images/sofa_imagenet/n03693474_1190.JPEG,sofa,184,176,431,332,2.5153516088462338,29.58954082768827,2.7129446352828137
n03693474_11901,Images/sofa_imagenet/n03693474_11901.JPEG,sofa,36,88,234,211,298.26709805365795,5.59237923538796,1.1270399422354729
n03693474_11901,Images/sofa_imagenet/n03693474_11901.JPEG,sofa,274,85,511,197,23.521021099894345,7.194819153663693,0.3434228339693886
n03693474_11966,Images/sofa_imagenet/n03693474_11966.JPEG,sofa,34,61,448,373,36.77770544688264,14.840729084098088,1.0118924640303097
n03693474_12001,Images/sofa_imagenet/n03693474_12001.JPEG,sofa,4,110,316,299,336.3425981721011,7.34997368664484,0.4426670078543591
n03693474_12001,Images/sofa_imagenet/n03693474_12001.JPEG,sofa,342,111,584,284,29.894187111171348,11.292725374123455,-0.7497792488575521
n03693474_12079,Images/sofa_imagenet/n03693474_12079.JPEG,sofa,25,37,1587,1070,8.283030825015706e-09,11.111273305108533,-0.13932914500554158
n03693474_12095,Images/sofa_imagenet/n03693474_12095.JPEG,sofa,17,49,554,382,339.0546773666435,4.522590811367903,3.432902093322433
n03693474_12133,Images/sofa_imagenet/n03693474_12133.JPEG,sofa,9,28,239,158,348.7228986808247,7.827531977371588,4.314370343905669
n03693474_12175,Images/sofa_imagenet/n03693474_12175.JPEG,sofa,47,78,495,357,3.154420890556825e-08,1.7339535359136942,-1.0601818563978387
n03693474_12250,Images/sofa_imagenet/n03693474_12250.JPEG,sofa,23,4,498,344,243.03107135416346,15.864135545403762,2.791262082364704
n03693474_12347,Images/sofa_imagenet/n03693474_12347.JPEG,sofa,7,111,181,222,314.2429038589997,4.759881436582949,9.187495844897981
n03693474_12347,Images/sofa_imagenet/n03693474_12347.JPEG,sofa,199,108,344,197,19.971895402313088,18.20240744412884,1.2621730540782956
n03693474_12368,Images/sofa_imagenet/n03693474_12368.JPEG,sofa,4,76,499,329,2.01864491561495e-08,7.500000013614269,2.9412068062383137
n03693474_12373,Images/sofa_imagenet/n03693474_12373.JPEG,sofa,20,253,496,491,45.72681534200699,17.22684666543708,5.295173370871028
n03693474_12373,Images/sofa_imagenet/n03693474_12373.JPEG,sofa,10,9,487,233,351.9002989061854,13.002859588692505,0.7053545203030611
n03693474_1241,Images/sofa_imagenet/n03693474_1241.JPEG,sofa,14,84,494,356,5.252954409634083e-10,1.1003498987936133,-0.7395339613696225
n03693474_12530,Images/sofa_imagenet/n03693474_12530.JPEG,sofa,36,106,478,325,4.015051501860499e-08,-4.9999999600886555,0.15923084446697391
