image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000023,Images/tvmonitor_pascal/2008_000023.jpg,tvmonitor,6,1,314,262,11.84525170017399,-2.039895139871298,-0.2767013118238896
2008_000070,Images/tvmonitor_pascal/2008_000070.jpg,tvmonitor,180,260,213,293,315.61376565361326,2.1322224225207074,4.381780618493963
2008_000093,Images/tvmonitor_pascal/2008_000093.jpg,tvmonitor,392,3,479,95,86.11674104736295,7.257479690463698,10.334919664558504
2008_000202,Images/tvmonitor_pascal/2008_000202.jpg,tvmonitor,17,39,159,157,8.208902255941746,0.6127309906188813,3.0527787093608922
2008_000309,Images/tvmonitor_pascal/2008_000309.jpg,tvmonitor,1,40,98,222,3.6008670464981885,-3.3185161184902046,-3.4540811340658033
2008_000309,Images/tvmonitor_pascal/2008_000309.jpg,tvmonitor,240,159,413,329,3.928232231591457e-07,5.907916550804113,-0.050898159268542416
2008_000348,Images/tvmonitor_pascal/2008_000348.jpg,tvmonitor,185,157,279,265,12.241499638328357,2.423027322198684,-1.375060542649981
2008_000348,Images/tvmonitor_pascal/2008_000348.jpg,tvmonitor,274,82,364,200,59.80155567149071,3.7142025663718443,4.996987744133491
2008_000495,Images/tvmonitor_pascal/2008_000495.jpg,tvmonitor,1,53,157,206,311.65036599965543,10.711660042208884,7.4732597197109545
2008_000578,Images/tvmonitor_pascal/2008_000578.jpg,tvmonitor,54,192,386,374,183.0001560423217,-0.91428519285174,1.920272166266246
2008_001021,Images/tvmonitor_pascal/2008_001021.jpg,tvmonitor,1,154,176,356,328.7018800894119,-0.8033519513464895,0.06864634690870586
2008_001073,Images/tvmonitor_pascal/2008_001073.jpg,tvmonitor,262,79,450,265,76.431613190409,9.866483499431771,-5.370542534575375
2008_001130,Images/tvmonitor_pascal/2008_001130.jpg,tvmonitor,219,153,313,259,2.7708158155446956,-0.08817562203163479,0.563655210194984
2008_001143,Images/tvmonitor_pascal/2008_001143.jpg,tvmonitor,293,161,337,212,28.310487599491843,3.445280819710185,-3.7967066485500096
2008_001143,Images/tvmonitor_pascal/2008_001143.jpg,tvmonitor,320,186,363,253,69.02371610372103,6.708359304765025,-18.433903851238696
2008_001461,Images/tvmonitor_pascal/2008_001461.jpg,tvmonitor,433,74,498,124,3.814707771334512,-0.08548897437471357,-1.1340179601445532
2008_001576,Images/tvmonitor_pascal/2008_001576.jpg,tvmonitor,193,1,373,94,5.540201369066078,0.2460947548775741,-2.494150294389355
2008_001641,Images/tvmonitor_pascal/2008_001641.jpg,tvmonitor,125,217,202,282,324.41874078858956,-0.46982249498885215,5.510762425640704
2008_001704,Images/tvmonitor_pascal/2008_001704.jpg,tvmonitor,1,29,237,258,341.12601315601415,-5.0426590700553895,3.110653046624568
2008_001781,Images/tvmonitor_pascal/2008_001781.jpg,tvmonitor,336,150,416,218,26.710721651026542,3.0860412041452294,-0.3260136410406633
2008_001880,Images/tvmonitor_pascal/2008_001880.jpg,tvmonitor,11,3,474,491,264.8077866289782,4.687310568021879,-1.1786126837486315
2008_001888,Images/tvmonitor_pascal/2008_001888.jpg,tvmonitor,302,88,383,199,54.20735757980741,4.3211382450109,-14.2589913211754
2008_001888,Images/tvmonitor_pascal/2008_001888.jpg,tvmonitor,385,33,415,51,50.09139244719737,2.9660212259460637,-0.14711643336144198
2008_001896,Images/tvmonitor_pascal/2008_001896.jpg,tvmonitor,404,159,491,259,36.86758035675903,3.6871819836799844,-10.226518533402565
2008_001997,Images/tvmonitor_pascal/2008_001997.jpg,tvmonitor,358,47,452,145,7.264066475608599,-6.228986098286837,-2.0552267404522437
2008_001997,Images/tvmonitor_pascal/2008_001997.jpg,tvmonitor,8,127,85,259,290.1964614225194,8.437375820919053,18.995166432313425
2008_002066,Images/tvmonitor_pascal/2008_002066.jpg,tvmonitor,84,93,386,376,6.6935242405068935,8.485841346319498,1.0239609493526023
2008_002119,Images/tvmonitor_pascal/2008_002119.jpg,tvmonitor,182,21,224,72,20.109730994380133,-0.6719536335065024,-0.9147232523362533
2008_002218,Images/tvmonitor_pascal/2008_002218.jpg,tvmonitor,87,185,254,320,339.254465822786,25.99331395398132,2.1513000838243626
2008_002547,Images/tvmonitor_pascal/2008_002547.jpg,tvmonitor,38,77,421,365,337.92877738522714,6.521678335343454,5.904971839148499
2008_002638,Images/tvmonitor_pascal/2008_002638.jpg,tvmonitor,199,65,231,117,5.955123409855002,4.096491747254694,5.044343550779848
2008_002650,Images/tvmonitor_pascal/2008_002650.jpg,tvmonitor,1,1,319,350,317.38176621482086,22.499999665384333,22.692629530929572
2008_002676,Images/tvmonitor_pascal/2008_002676.jpg,tvmonitor,121,209,357,374,180.0,10.0,0.0
2008_002776,Images/tvmonitor_pascal/2008_002776.jpg,tvmonitor,8,52,136,161,334.9672432738451,-2.3776948040628003,1.3474664495571256
2008_002954,Images/tvmonitor_pascal/2008_002954.jpg,tvmonitor,155,287,279,389,9.341737608493558,3.767545366217077,0.8770354423459228
2008_003037,Images/tvmonitor_pascal/2008_003037.jpg,tvmonitor,81,255,112,285,307.77995259156415,14.325978802280414,5.3843364445915
2008_003200,Images/tvmonitor_pascal/2008_003200.jpg,tvmonitor,1,5,340,334,327.5000015370621,5.827139262603372,-2.126598241304988
2008_003213,Images/tvmonitor_pascal/2008_003213.jpg,tvmonitor,1,51,116,180,347.60754864744627,5.072593751234186,2.4962775112642492
2008_003248,Images/tvmonitor_pascal/2008_003248.jpg,tvmonitor,181,93,332,196,305.335757633014,-0.5034464158142649,5.323756026921275
2008_003248,Images/tvmonitor_pascal/2008_003248.jpg,tvmonitor,1,94,104,267,301.9164912945565,2.1754970164487424,2.4414519196326174
2008_003264,Images/tvmonitor_pascal/2008_003264.jpg,tvmonitor,106,175,144,218,60.406564936159924,-6.322913772429418,1.6314852330167577
2008_003434,Images/tvmonitor_pascal/2008_003434.jpg,tvmonitor,216,68,458,231,22.49999970484099,-4.576748035957879,-0.26318312996090587
2008_003435,Images/tvmonitor_pascal/2008_003435.jpg,tvmonitor,32,13,499,360,340.0,0.0,0.0
2008_003500,Images/tvmonitor_pascal/2008_003500.jpg,tvmonitor,1,19,366,339,354.51383443438874,6.3172520138954225,0.7726284139588315
2008_003585,Images/tvmonitor_pascal/2008_003585.jpg,tvmonitor,1,24,297,325,349.7545112797648,-6.231891909570199,0.6844032278339087
2008_003589,Images/tvmonitor_pascal/2008_003589.jpg,tvmonitor,215,254,277,326,44.04952362459198,-1.1619438889553564,-9.713556850958865
2008_003667,Images/tvmonitor_pascal/2008_003667.jpg,tvmonitor,39,211,293,429,339.52575438667157,22.499999960557563,1.1360671777368918
2008_003712,Images/tvmonitor_pascal/2008_003712.jpg,tvmonitor,88,1,215,46,10.112473933415897,3.2333351495286684,10.37664801063878
2008_003712,Images/tvmonitor_pascal/2008_003712.jpg,tvmonitor,90,190,150,280,47.45054420223992,2.3093402745826546,5.775609134601018
2008_003814,Images/tvmonitor_pascal/2008_003814.jpg,tvmonitor,434,184,499,268,57.757904604362146,10.735490617341803,-4.290942018236276
2008_003883,Images/tvmonitor_pascal/2008_003883.jpg,tvmonitor,137,1,350,109,347.8109318879824,0.16985441964320067,1.3492973450324972
2008_003995,Images/tvmonitor_pascal/2008_003995.jpg,tvmonitor,291,176,421,295,30.189260553060272,-1.2044756269252639,-12.03173454702291
2008_004004,Images/tvmonitor_pascal/2008_004004.jpg,tvmonitor,27,22,474,322,1.190012158805035e-07,2.333503042637363,1.0702519921187728
2008_004008,Images/tvmonitor_pascal/2008_004008.jpg,tvmonitor,208,87,294,163,38.218172889492244,16.745037857764864,6.1305045901020385
2008_004097,Images/tvmonitor_pascal/2008_004097.jpg,tvmonitor,173,42,271,133,336.7434402184186,0.9210963991426628,1.7117655170861246
2008_004217,Images/tvmonitor_pascal/2008_004217.jpg,tvmonitor,41,93,227,272,354.05818019010405,-6.119266792923491,-2.9584135276636334
2008_004259,Images/tvmonitor_pascal/2008_004259.jpg,tvmonitor,74,66,424,384,346.20825700688425,21.870307202765684,2.3762389719800696
2008_004301,Images/tvmonitor_pascal/2008_004301.jpg,tvmonitor,34,113,288,362,328.9819014358301,-1.2771132724738057,6.5314116425508875
2008_004321,Images/tvmonitor_pascal/2008_004321.jpg,tvmonitor,430,167,499,252,46.933527664764576,4.550453217358943,-8.301960185140523
2008_004492,Images/tvmonitor_pascal/2008_004492.jpg,tvmonitor,309,259,472,374,141.812978884484,43.501651935648134,-0.9542630468649721
2008_004506,Images/tvmonitor_pascal/2008_004506.jpg,tvmonitor,45,99,113,158,10.121344631386881,1.0946778411116853,2.200279009018348
