image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta,qw,qx,qy,qz
n03085219_1017,Images/tvmonitor_imagenet/n03085219_1017.JPEG,tvmonitor,39,24,500,323,22.80732135292037,-4.505733599024733,0.0636329850588696,0.1975885142112417,-0.0384240638254891,0.008316253014810288,0.9794964064797392
n03085219_1077,Images/tvmonitor_imagenet/n03085219_1077.JPEG,tvmonitor,197,37,292,190,297.59270775007536,10.808056373697912,4.839197864713881,0.5187196714789313,-0.05870698801649542,-0.08469791397111243,-0.8487105839729835
n03085219_1119,Images/tvmonitor_imagenet/n03085219_1119.JPEG,tvmonitor,231,19,774,369,13.71813782745449,5.57054409943743,1.1602190226030755,0.11879193542689825,0.049450500452589974,0.0042372592162624465,0.9916779566557149
n03085219_1240,Images/tvmonitor_imagenet/n03085219_1240.JPEG,tvmonitor,42,11,446,433,314.88119224948707,5.611974483408919,2.4056070135347807,0.3840456746460629,-0.03715483579287998,-0.038138570254076506,-0.9217775693852772
n03085219_1468,Images/tvmonitor_imagenet/n03085219_1468.JPEG,tvmonitor,53,67,445,448,2.7963875950119585,5.514402278715676,0.325134821577808,0.0242358723286568,0.048158303667724715,0.0016594476537914015,0.9985442636727732
n03085219_1523,Images/tvmonitor_imagenet/n03085219_1523.JPEG,tvmonitor,39,35,460,312,2.1313080153302384e-06,43.97286550464399,0.3709009470006114,-0.0012117671422981644,0.37438507108706437,0.003001310611677039,0.9272676756482664
n03085219_1583,Images/tvmonitor_imagenet/n03085219_1583.JPEG,tvmonitor,134,54,300,225,12.313829998015168,7.144836583489231,-3.852782341950554,0.10906534882254026,0.058317328316481856,-0.04003578005078498,0.9915144856329484
n03085219_1619,Images/tvmonitor_imagenet/n03085219_1619.JPEG,tvmonitor,92,22,415,334,11.72657015607615,6.337883524346702,0.0336650024015353,0.10198274627040842,0.055021036900169046,-0.005355363637896922,0.9932489743472589
n03085219_1656,Images/tvmonitor_imagenet/n03085219_1656.JPEG,tvmonitor,60,12,379,355,22.4999999528597,1.496532426203846,0.2692230106794016,0.19504305433688662,0.013266679424914359,-0.00024367136508548137,0.9807049213684208
n03085219_1964,Images/tvmonitor_imagenet/n03085219_1964.JPEG,tvmonitor,224,10,578,282,1.4158771512838408,20.208637332562898,-0.8680595830184953,0.013492455223766074,0.17533036345568132,-0.009624721981996667,0.9843701448283073
