image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
n03085219_1017,Images/tvmonitor_imagenet/n03085219_1017.JPEG,tvmonitor,39,24,500,323,22.80732135292037,-4.505733599024733,0.06363298505886963
n03085219_1077,Images/tvmonitor_imagenet/n03085219_1077.JPEG,tvmonitor,197,37,292,190,297.59270775007536,10.808056373697912,4.839197864713881
n03085219_1119,Images/tvmonitor_imagenet/n03085219_1119.JPEG,tvmonitor,231,19,774,369,13.71813782745449,5.57054409943743,1.1602190226030757
n03085219_1240,Images/tvmonitor_imagenet/n03085219_1240.JPEG,tvmonitor,42,11,446,433,314.88119224948707,5.611974483408919,2.4056070135347807
n03085219_1354,Images/tvmonitor_imagenet/n03085219_1354.JPEG,tvmonitor,70,2,498,373,61.99134986278248,17.5193575745141,-6.623326927974035
n03085219_1468,Images/tvmonitor_imagenet/n03085219_1468.JPEG,tvmonitor,53,67,445,448,2.7963875950119585,5.514402278715676,0.32513482157780804
n03085219_1523,Images/tvmonitor_imagenet/n03085219_1523.JPEG,tvmonitor,39,35,460,312,2.1313080153302384e-06,43.97286550464399,0.37090094700061144
n03085219_1583,Images/tvmonitor_imagenet/n03085219_1583.JPEG,tvmonitor,134,54,300,225,12.313829998015168,7.144836583489231,-3.852782341950554
n03085219_1619,Images/tvmonitor_imagenet/n03085219_1619.JPEG,tvmonitor,92,22,415,334,11.72657015607615,6.337883524346702,0.03366500240153535
n03085219_1656,Images/tvmonitor_imagenet/n03085219_1656.JPEG,tvmonitor,60,12,379,355,22.4999999528597,1.496532426203846,0.2692230106794016
n03085219_1964,Images/tvmonitor_imagenet/n03085219_1964.JPEG,tvmonitor,224,10,578,282,1.4158771512838408,20.208637332562898,-0.8680595830184953
n03085219_1987,Images/tvmonitor_imagenet/n03085219_1987.JPEG,tvmonitor,141,103,346,250,14.296995009825112,16.46247729978403,1.4767025111389127
n03085219_2428,Images/tvmonitor_imagenet/n03085219_2428.JPEG,tvmonitor,199,32,346,223,34.70478338659669,17.50351149309149,-2.613310159124891
n03085219_3748,Images/tvmonitor_imagenet/n03085219_3748.JPEG,tvmonitor,2,48,797,557,355.0883852357051,31.1378369764883,-1.047268226474512
n03085219_3955,Images/tvmonitor_imagenet/n03085219_3955.JPEG,tvmonitor,0,67,372,471,4.036731099751654,6.145596416579691,0.07446514879645831
n03085219_4076,Images/tvmonitor_imagenet/n03085219_4076.JPEG,tvmonitor,27,35,469,388,2.0833992726964688e-05,-2.8892391547213907,0.09606405439678467
n03085219_4218,Images/tvmonitor_imagenet/n03085219_4218.JPEG,tvmonitor,165,67,333,244,22.499999699061355,-0.29265173662388466,-0.186174969314032
n03085219_4227,Images/tvmonitor_imagenet/n03085219_4227.JPEG,tvmonitor,144,86,302,351,300.97685035572874,4.396775950101066,1.2026913762855729
n03085219_4235,Images/tvmonitor_imagenet/n03085219_4235.JPEG,tvmonitor,228,148,268,257,72.89077059064272,-0.8307154066540137,1.3220548785013075
n03085219_4322,Images/tvmonitor_imagenet/n03085219_4322.JPEG,tvmonitor,267,72,387,187,11.356345354239076,2.8276227858177236,0.4068667936692176
n03085219_454,Images/tvmonitor_imagenet/n03085219_454.JPEG,tvmonitor,68,58,360,457,55.58892442588871,-8.74373520146739,-3.1951701229248464
n03085219_4735,Images/tvmonitor_imagenet/n03085219_4735.JPEG,tvmonitor,124,126,317,284,244.18146131242764,9.92589635021802,14.792067893065404
n03085219_4774,Images/tvmonitor_imagenet/n03085219_4774.JPEG,tvmonitor,159,108,329,256,347.036309528821,-33.895146356990296,5.132869400217761
n03085219_4778,Images/tvmonitor_imagenet/n03085219_4778.JPEG,tvmonitor,63,65,233,233,3.825698934138441e-06,6.4858971461338,5.673785846573229
n03085219_4803,Images/tvmonitor_imagenet/n03085219_4803.JPEG,tvmonitor,1,63,266,365,339.42700805180147,-3.059308262453728,7.399861302374658
n03085219_4969,Images/tvmonitor_imagenet/n03085219_4969.JPEG,tvmonitor,59,16,295,195,346.2413275129679,-12.499999834825138,2.259319568852313
n03085219_5102,Images/tvmonitor_imagenet/n03085219_5102.JPEG,tvmonitor,75,29,399,326,8.936940713999842,6.439302490212731,0.3528117870438452
n03085219_5193,Images/tvmonitor_imagenet/n03085219_5193.JPEG,tvmonitor,58,157,308,370,333.1554376990889,19.229251529989966,-5.14296731117298
n03085219_5202,Images/tvmonitor_imagenet/n03085219_5202.JPEG,tvmonitor,218,72,372,215,83.9038527401695,0.731919006643639,-11.789376760049585
n03085219_5563,Images/tvmonitor_imagenet/n03085219_5563.JPEG,tvmonitor,75,9,395,259,22.16230119124551,-5.906765864606106,-1.518455380686389
n03085219_5607,Images/tvmonitor_imagenet/n03085219_5607.JPEG,tvmonitor,3,30,352,364,36.986359818793915,44.46384408739165,6.685719955097179
n03085219_569,Images/tvmonitor_imagenet/n03085219_569.JPEG,tvmonitor,232,256,448,452,321.4822472406186,32.50000000457882,4.286406342938302
n03085219_5803,Images/tvmonitor_imagenet/n03085219_5803.JPEG,tvmonitor,103,23,422,373,6.900688273478144e-08,6.5539481862519455,0.39898578854809974
