image_id,image_path,class_label,xmin,ymin,xmax,ymax,azimuth,elevation,theta
2008_000070,Images/tvmonitor_pascal/2008_000070.jpg,tvmonitor,180,260,213,293,315.61376565361326,2.1322224225207074,4.381780618493963
2008_000093,Images/tvmonitor_pascal/2008_000093.jpg,tvmonitor,392,3,479,95,86.11674104736295,7.257479690463698,10.334919664558504
2008_000202,Images/tvmonitor_pascal/2008_000202.jpg,tvmonitor,17,39,159,157,8.208902255941746,0.6127309906188813,3.0527787093608922
2008_000309,Images/tvmonitor_pascal/2008_000309.jpg,tvmonitor,240,159,413,329,3.928232231591457e-07,5.907916550804113,-0.050898159268542416
2008_000348,Images/tvmonitor_pascal/2008_000348.jpg,tvmonitor,185,157,279,265,12.241499638328357,2.423027322198684,-1.375060542649981
2008_000348,Images/tvmonitor_pascal/2008_000348.jpg,tvmonitor,274,82,364,200,59.80155567149071,3.7142025663718443,4.996987744133491
2008_000495,Images/tvmonitor_pascal/2008_000495.jpg,tvmonitor,1,53,157,206,311.65036599965543,10.711660042208884,7.4732597197109545
2008_001021,Images/tvmonitor_pascal/2008_001021.jpg,tvmonitor,1,154,176,356,328.7018800894119,-0.8033519513464895,0.06864634690870586
2008_001130,Images/tvmonitor_pascal/2008_001130.jpg,tvmonitor,219,153,313,259,2.7708158155446956,-0.08817562203163479,0.563655210194984
2008_001143,Images/tvmonitor_pascal/2008_001143.jpg,tvmonitor,293,161,337,212,28.310487599491843,3.445280819710185,-3.7967066485500096
2008_001143,Images/tvmonitor_pascal/2008_001143.jpg,tvmonitor,320,186,363,253,69.02371610372103,6.708359304765025,-18.433903851238696
2008_001704,Images/tvmonitor_pascal/2008_001704.jpg,tvmonitor,1,29,237,258,341.12601315601415,-5.0426590700553895,3.110653046624568
2008_001880,Images/tvmonitor_pascal/2008_001880.jpg,tvmonitor,11,3,474,491,264.8077866289782,4.687310568021879,-1.1786126837486315
2008_001888,Images/tvmonitor_pascal/2008_001888.jpg,tvmonitor,302,88,383,199,54.20735757980741,4.3211382450109,-14.2589913211754
2008_001997,Images/tvmonitor_pascal/2008_001997.jpg,tvmonitor,358,47,452,145,7.264066475608599,-6.228986098286837,-2.0552267404522437
2008_002218,Images/tvmonitor_pascal/2008_002218.jpg,tvmonitor,87,185,254,320,339.254465822786,25.99331395398132,2.1513000838243626
2008_002547,Images/tvmonitor_pascal/2008_002547.jpg,tvmonitor,38,77,421,365,337.92877738522714,6.521678335343454,5.904971839148499
2008_002776,Images/tvmonitor_pascal/2008_002776.jpg,tvmonitor,8,52,136,161,334.9672432738451,-2.3776948040628003,1.3474664495571256
